N=1,N=2,N=10,N=100
0.186231,0.417312,0.458739,0.917112
0.894306,3.46181,1.22793,1.01938
4.79905,2.49669,1.05442,1.00962
2.17972,1.22538,1.47702,1.06458
0.500117,1.40368,0.734951,1.00592
1.2397,0.772851,0.790358,0.915663
0.856498,0.57818,0.904621,1.04388
0.552547,0.344557,0.740309,0.950674
1.62466,0.85443,1.38186,1.0129
0.49886,0.723512,0.523985,0.858627
0.103869,0.525142,0.471001,0.979975
0.409467,1.0312,1.5293,0.956771
0.0550815,0.320843,1.27992,0.931024
0.366425,0.246923,0.624951,1.05652
0.257951,0.282429,0.847313,0.986946
0.038889,0.678678,0.905566,0.991903
0.00464983,1.06843,0.928932,1.10386
1.32162,1.17918,0.709362,0.804568
0.698407,0.496119,1.129,1.01873
4.8669,2.65977,1.3732,0.972918
0.168234,0.422838,1.10579,1.11374
0.712804,0.542374,1.46448,0.934595
2.85956,2.81016,1.09415,0.932434
0.562358,1.32651,1.98436,0.999525
2.34943,1.58632,1.20221,0.76629
1.67248,1.83864,1.12978,0.984789
0.739783,1.69233,1.13123,1.19324
0.754346,1.26682,1.17467,0.884916
2.05676,2.63267,1.10933,1.08698
0.134806,0.420362,0.519144,0.893829
0.00930958,0.507354,0.579765,0.812949
1.03087,0.59533,1.09065,0.957695
4.64138,2.83736,1.89623,1.03624
0.296702,0.258803,1.12561,0.989368
0.133936,0.782891,0.887465,0.950566
1.13654,0.657751,0.660614,0.93128
0.942198,0.754811,1.04422,1.00822
1.31602,0.684662,0.754696,0.914014
0.742969,1.12402,1.24727,0.964949
0.270728,0.186161,1.55844,1.06236
0.412463,0.883369,1.38163,1.00705
0.592698,1.14406,0.769057,0.995342
0.791864,1.04121,0.926206,1.10405
0.923453,1.06961,1.23931,1.01357
1.78543,1.19866,1.19755,0.993888
2.37951,1.20904,1.82544,1.16034
0.274998,0.328881,0.631835,0.920543
0.220035,0.411022,0.701618,0.835425
0.339729,0.666899,1.68615,1.05175
2.43942,2.6243,1.34337,1.04943
0.950622,1.21805,1.01822,1.01561
0.890323,0.446108,1.02234,1.09726
1.79283,0.983269,1.40671,1.28315
0.0452751,0.45804,0.71516,1.01738
0.933814,0.632132,0.838301,0.892721
1.09682,0.727004,0.794264,0.911949
0.837177,0.508365,0.347541,0.907435
1.59924,1.01233,1.36222,0.99592
