N=1,N=2,N=10,N=100
0.879663,0.554624,-0.558099,-49.8599
7.20985,1.1583,-0.728459,0.321533
-1.18889,-0.51147,-2.81504,0.0444622
-0.816565,0.00944068,0.71186,1.14707
-1.81296,-0.936767,-0.235057,-2.70848
0.808228,0.5046,1.68508,-7.21365
-0.45577,-0.539751,53.212,7.70586
-0.0920855,0.21547,-0.319004,0.161975
-1.80553,-20.9418,-2.88647,0.487694
0.539745,1.79342,0.307139,0.323268
1.83849,0.495615,1.73322,0.240992
0.11717,0.210241,-0.214819,-0.66992
-7.09508,-3.95545,0.780348,2.25856
0.845739,0.181679,0.551475,-0.339986
1.517,1.99556,-0.456727,1.29005
-1.45333,-0.882395,-0.597012,-1.4337
-2.16617,-2.50357,-0.539699,-0.80777
-0.0416968,-1.33455,-1.13554,-0.175339
-0.719075,-0.526699,0.367096,-0.132155
0.0539114,-0.557062,-1.51909,-1.28938
-0.430333,-1.11234,-0.512893,-11.1513
1.03113,0.664314,0.0763904,0.123162
-0.0838485,-1.15791,3.35877,2.98749
0.051536,0.0407237,-0.157991,0.367583
-0.232626,0.0119721,-1.44366,1.5197
-0.672885,0.24735,1.11494,-0.0597138
0.00255249,0.548695,0.762814,3.6528
18.0268,8.73662,3.12253,1.40563
1.57904,0.837289,0.748339,-0.978887
0.109359,-0.366808,0.437674,-0.050983
-4.15564,-1.78641,-0.650583,-0.347079
-1.61449,-9.37811,-0.601803,0.271865
1.06997,1.79358,-25.3064,-3.07689
-2.20967,-1.38926,2.13919,0.789453
-1.22624,-0.47931,-11.63,-1.29955
-0.673376,-0.482165,1.66279,1.36731
-1.49932,-0.668818,-6.71368,-0.73449
1.04089,0.482055,-0.111783,0.748005
-0.0118702,-0.0955751,0.0863883,0.0960919
-0.599819,15.1271,3.0442,0.451021
1.61241,1.11529,11.2093,2.07412
0.621487,-1.63951,-7.73122,3.03442
-0.91263,0.0301275,2.32339,-1.27118
8.20947,2.64622,1.34468,0.998578
0.431248,-0.818044,-3.67341,-0.260532
-0.463827,-0.109853,-0.83187,2.68065
-7.17242,-3.94447,0.676597,-0.565803
0.273526,-0.0179286,1417.65,142.604
0.0570897,0.267675,0.177711,1.50061
-3.11873,-1.59224,1.43417,1.46367
0.561996,0.719768,10.1424,0.66847
1.659,2.76244,0.493878,-1.87202
0.706686,1.07212,1.28038,-0.683257
-0.100828,-21.5149,-3.27506,1.42095
-0.878895,-0.404673,0.236279,2.59724
-0.149189,0.511226,0.655121,0.335918
0.0136035,0.103213,0.349114,-1.10403
2.58154,1.30034,0.540715,0.0657568
1.87945,-1.37361,-0.420482,0.220512
