N=1,N=2,N=10,N=100
0.122649,0.226908,0.517226,0.482451
0.304051,0.486283,0.63992,0.49944
0.227562,0.448898,0.583855,0.517162
0.502315,0.650202,0.538327,0.492218
0.219829,0.568957,0.619452,0.53981
0.352541,0.521167,0.642964,0.512769
0.848232,0.607656,0.392722,0.410819
0.770063,0.852787,0.618545,0.526562
0.299975,0.364523,0.511889,0.505414
0.700673,0.653671,0.583819,0.540887
0.846126,0.715772,0.637308,0.491703
0.0788086,0.0831649,0.252892,0.47854
0.799183,0.715183,0.498777,0.535375
0.173032,0.166761,0.376492,0.507102
0.957995,0.752877,0.501589,0.467578
0.973522,0.638691,0.413719,0.482819
0.908635,0.600981,0.667121,0.493244
0.68841,0.730911,0.564037,0.493457
0.680663,0.624369,0.490439,0.478569
0.76541,0.614411,0.463504,0.517707
0.326608,0.258904,0.409144,0.481233
0.142283,0.460497,0.398416,0.514429
0.998319,0.558811,0.564377,0.519706
0.654316,0.726425,0.613797,0.525841
0.0372262,0.189043,0.496653,0.549338
0.689063,0.781466,0.493367,0.52592
0.476394,0.687701,0.455884,0.490309
0.278252,0.376213,0.461842,0.481505
0.170621,0.147815,0.316675,0.480256
0.853825,0.719662,0.409639,0.498134
0.526687,0.666985,0.476711,0.431488
0.869735,0.565302,0.664276,0.480668
0.49921,0.487617,0.377755,0.468785
0.403182,0.219186,0.431982,0.440329
0.148457,0.1997,0.525508,0.453597
0.698628,0.769658,0.507248,0.484327
0.624767,0.702296,0.59628,0.494595
0.405006,0.600151,0.497254,0.512965
0.950152,0.819114,0.405182,0.469388
0.981164,0.883157,0.732359,0.504138
0.410974,0.5378,0.372206,0.494183
0.406683,0.265224,0.533025,0.49149
0.756455,0.791733,0.559345,0.492116
0.934844,0.839532,0.677782,0.504464
0.71615,0.527395,0.563568,0.487332
0.161578,0.264318,0.366063,0.479643
0.60536,0.499564,0.537223,0.436115
0.158902,0.52216,0.593945,0.493001
0.980832,0.810809,0.56914,0.516381
0.833409,0.826816,0.560058,0.502856
0.439938,0.660995,0.496416,0.505858
0.0200092,0.0710648,0.493147,0.529548
0.724905,0.596696,0.628628,0.513997
0.108219,0.470696,0.541973,0.503413
0.2995,0.249678,0.452865,0.546636
0.222925,0.196511,0.392487,0.481527
0.508966,0.627778,0.549767,0.541929
0.143619,0.297939,0.476396,0.48674
0.314832,0.470779,0.587418,0.452777
0.245763,0.608565,0.509482,0.483542
0.414605,0.508052,0.371693,0.437233
0.785002,0.585591,0.547259,0.518708
0.312198,0.653985,0.518361,0.541208
0.819578,0.672,0.669735,0.493928
0.598302,0.751432,0.573974,0.506444
0.978418,0.78185,0.706312,0.511444
0.330795,0.422622,0.549287,0.461506
0.131942,0.395917,0.486047,0.489752
0.973608,0.911199,0.54067,0.472528
0.809786,0.516561,0.547713,0.537145
0.858345,0.498281,0.601691,0.540357
0.934215,0.867454,0.568341,0.524885
0.576322,0.649639,0.488792,0.493293
0.100133,0.235491,0.468121,0.498454
0.0895185,0.500317,0.641644,0.517706
0.232183,0.238965,0.423764,0.479752
0.667333,0.607242,0.570551,0.446194
0.986561,0.567755,0.571659,0.479076
0.0118667,0.0995846,0.409944,0.503198
0.739765,0.378044,0.506355,0.479843
0.127819,0.430834,0.658746,0.516025
0.418611,0.535774,0.579131,0.523974
0.623962,0.385813,0.365104,0.526044
0.775462,0.78976,0.675646,0.514561
0.201491,0.320021,0.524698,0.468573
0.999721,0.717137,0.50085,0.450052
0.0904247,0.307966,0.548562,0.516821
0.781246,0.420485,0.423579,0.490929
0.138581,0.451319,0.418073,0.517992
0.103467,0.467741,0.432478,0.525776
0.138527,0.546981,0.481472,0.480456
0.143574,0.452693,0.529097,0.48144
0.796234,0.639344,0.557999,0.48781
0.694272,0.815586,0.533232,0.491921
0.501061,0.680256,0.502475,0.461299
0.496209,0.700093,0.49981,0.549089
0.750023,0.594436,0.444823,0.480271
0.782265,0.634599,0.545833,0.474781
0.710165,0.497257,0.555804,0.534783
0.184546,0.212492,0.460085,0.463339
0.971252,0.636099,0.501908,0.516276
0.941988,0.707863,0.517591,0.462024
0.0467786,0.325627,0.539103,0.476055
0.0711214,0.199731,0.444952,0.501928
0.624746,0.721619,0.456827,0.519066
0.824634,0.789626,0.681976,0.536121
0.950433,0.727162,0.52035,0.488632
0.361994,0.384106,0.559193,0.523561
0.0418085,0.149247,0.471346,0.549439
0.0934955,0.275461,0.360071,0.486015
0.694054,0.423045,0.533231,0.514715
0.633694,0.39062,0.460997,0.486589
0.423042,0.295318,0.529546,0.497338
0.712328,0.589959,0.441263,0.457298
0.628469,0.807692,0.66037,0.520139
0.740411,0.784455,0.629543,0.569023
0.325709,0.244679,0.493492,0.494023
0.0162975,0.401325,0.402567,0.499193
0.801298,0.410606,0.513764,0.513209
0.781133,0.865035,0.675897,0.540225
0.490332,0.6738,0.535791,0.487306
0.495216,0.272252,0.325946,0.500292
0.254925,0.165593,0.621822,0.551781
0.806394,0.826057,0.456597,0.539626
0.0612086,0.345953,0.45844,0.51138
0.718738,0.856449,0.672995,0.44066
0.808241,0.846739,0.532356,0.468144
0.444343,0.390865,0.549294,0.526682
0.755541,0.57782,0.607322,0.46995
0.333216,0.250206,0.576386,0.481944
0.626823,0.530499,0.540929,0.546257
0.125811,0.532534,0.549831,0.488094
0.0358567,0.0369121,0.291733,0.439461
0.5599,0.608348,0.60743,0.486477
0.386269,0.443289,0.553909,0.504655
0.088059,0.388056,0.550133,0.49821
0.840414,0.729177,0.618317,0.519044
0.124163,0.133985,0.379134,0.477104
0.333351,0.553952,0.495619,0.494826
0.836906,0.475985,0.456284,0.480982
0.926281,0.536164,0.548772,0.530997
0.0454462,0.0514043,0.444135,0.509919
0.0496865,0.270469,0.468955,0.488189
0.246915,0.326927,0.506155,0.462495
0.379767,0.661131,0.59072,0.529128
0.217612,0.171497,0.346882,0.471639
0.222607,0.600296,0.478842,0.484226
0.979334,0.636245,0.645984,0.489158
0.348906,0.34345,0.5311,0.488083
0.209388,0.159089,0.389442,0.491608
0.227923,0.133696,0.427909,0.487166
0.39746,0.548359,0.525252,0.515412
0.552673,0.700711,0.521464,0.546814
0.214588,0.111551,0.370299,0.45048
0.829263,0.709447,0.593757,0.545163
0.659145,0.682009,0.56925,0.475688
0.621614,0.557878,0.524561,0.52586
0.581805,0.558061,0.455532,0.513182
0.798675,0.622294,0.597192,0.512235
0.166098,0.505861,0.288708,0.4979
0.824595,0.622883,0.631564,0.487625
0.85326,0.488896,0.441736,0.475138
0.763183,0.731533,0.4708,0.500168
0.049696,0.173834,0.385859,0.493011
0.236336,0.368036,0.359337,0.504876
0.742488,0.524134,0.370071,0.492924
0.0819831,0.330077,0.537239,0.512345
0.872976,0.929511,0.616312,0.503721
0.900442,0.476606,0.437094,0.466057
0.980564,0.831125,0.650804,0.483381
0.058966,0.133416,0.406624,0.474216
0.228505,0.189022,0.366107,0.462646
0.042588,0.213981,0.391852,0.478666
0.460533,0.400127,0.457731,0.495029
0.295253,0.247803,0.402375,0.518715
0.411807,0.411769,0.403343,0.455892
0.888577,0.582749,0.542027,0.471578
0.60976,0.787462,0.451835,0.50413
0.486436,0.477083,0.524914,0.543325
0.850043,0.868366,0.463724,0.479051
0.141938,0.121099,0.308562,0.448649
0.419861,0.435585,0.493584,0.463991
0.469207,0.327505,0.46257,0.520847
0.465625,0.415171,0.429434,0.484484
0.675754,0.703899,0.552963,0.548944
0.0639224,0.179423,0.40321,0.465796
0.822064,0.569917,0.55908,0.501364
0.654457,0.384785,0.46068,0.528694
0.493417,0.705844,0.551609,0.51443
0.530682,0.548377,0.428372,0.473225
0.824779,0.718701,0.547061,0.530052
0.0584845,0.201893,0.439309,0.511728
0.51299,0.386031,0.415721,0.502656
0.205372,0.473346,0.478563,0.538652
0.0813261,0.286839,0.456816,0.507415
0.812243,0.833822,0.583855,0.456033
0.229862,0.35335,0.466359,0.528441
0.826897,0.508163,0.485645,0.468124
0.61094,0.67647,0.509862,0.444328
0.443095,0.68519,0.495394,0.499859
0.812388,0.472058,0.473816,0.511682
0.751047,0.674803,0.549869,0.496391
0.712007,0.564326,0.706548,0.504804
0.104842,0.546023,0.493593,0.522937
0.6852,0.566916,0.470808,0.542043
0.949431,0.541747,0.430785,0.523339
0.403469,0.641411,0.617139,0.46708
0.324393,0.202713,0.602307,0.530029
0.154878,0.287258,0.348799,0.496047
0.673807,0.644882,0.542391,0.532504
0.748431,0.566306,0.585744,0.510797
0.941186,0.821191,0.644126,0.50214
0.132666,0.489373,0.54687,0.528235
