I (unif),error (unif),I(i.s.),error(i.s.)
0.976496,0,0.999912,0
0.985353,0.00563851,1.00024,0.00020907
0.991653,0.00516548,0.999585,0.000434573
0.987794,0.00440194,1.00101,0.0009551
0.996706,0.00661926,1.00039,0.000836426
0.99922,0.00563657,1.00037,0.000683159
0.997614,0.00487226,0.999962,0.000631959
0.994657,0.00462038,1.00073,0.000734128
0.99364,0.00412587,1.00045,0.000671994
0.994718,0.0037536,1.00094,0.000676739
0.995691,0.00345124,1.00127,0.000648537
0.998844,0.00373588,1.00108,0.000604489
1.00155,0.00384341,1.00112,0.000556726
1.00277,0.0036423,1.00115,0.000515733
1.00261,0.00339228,1.00104,0.000485556
1.00217,0.00318582,1.00054,0.000552461
1.00241,0.00299668,1.00067,0.000525303
1.00096,0.00297289,1.00077,0.000499591
1.00041,0.00283375,1.00081,0.000473105
1.00058,0.00269048,1.00083,0.000449056
1.00059,0.00255916,1.00135,0.000540521
1.00089,0.00244767,1.00152,0.000526747
1.0008,0.0023395,1.0014,0.000509835
0.999406,0.00240924,1.00123,0.000499874
0.998987,0.00232621,1.00137,0.000487825
0.998944,0.00223512,1.00125,0.000474766
0.998575,0.00216352,1.00112,0.000463772
0.998566,0.00208483,1.00099,0.000455297
0.998236,0.00202258,1.00149,0.000542648
0.998646,0.00197131,1.00162,0.000531344
0.997746,0.00199085,1.00173,0.000518414
0.997456,0.00193645,1.00166,0.000504019
0.996778,0.00192584,1.0016,0.00049001
0.996981,0.00187281,1.00146,0.00048323
0.997477,0.0018457,1.00147,0.000469231
0.997692,0.00179891,1.00118,0.000491533
0.997311,0.00176633,1.00102,0.000488611
0.997462,0.00172191,1.00095,0.000477569
0.997433,0.00167728,1.00111,0.000475969
0.997135,0.00164575,1.00121,0.000468039
0.997819,0.00166315,1.00106,0.000466035
0.998101,0.00163295,1.00094,0.000461649
0.997823,0.0016043,1.00069,0.000477432
0.997545,0.0015774,1.00077,0.000469369
0.997576,0.00154208,1.00078,0.000458864
0.9975,0.00150896,1.00073,0.000449886
0.99728,0.00148318,1.0007,0.000440589
0.997347,0.00145258,1.00064,0.000433385
0.997601,0.00143182,1.0007,0.000426211
0.997344,0.00141243,1.00077,0.000420322
0.997738,0.00140701,1.00075,0.000412164
0.9977,0.00137989,1.00075,0.000404199
0.997721,0.00135368,1.00062,0.000405022
0.998007,0.00134076,1.00057,0.000398493
0.997586,0.00134317,1.00055,0.00039137
0.997602,0.00131901,1.00056,0.000384376
0.997255,0.00131434,1.00057,0.000377591
0.997564,0.00130635,1.00037,0.000391446
0.997573,0.00128403,1.00033,0.000385506
0.997691,0.00126466,1.00042,0.000382641
0.997456,0.00125267,1.00043,0.000376367
0.997743,0.00124577,1.00039,0.000370897
0.997754,0.00122585,1.00048,0.000369321
0.997648,0.00120842,1.00057,0.000368395
0.997494,0.00119373,1.00055,0.000363081
0.997415,0.00117658,1.00061,0.000359401
0.997145,0.00117154,1.00064,0.000354519
0.997092,0.00115468,1.00052,0.000356891
0.997441,0.00115926,1.00053,0.000351773
0.997399,0.00114289,1.00046,0.000349512
0.997297,0.00112853,1.00056,0.000349716
0.997396,0.00111452,1.00049,0.000347382
0.9972,0.00110617,1.0004,0.000347369
0.997427,0.0011006,1.00036,0.000343769
0.997524,0.00108758,1.00036,0.000339176
0.997975,0.00111089,1.00032,0.000335675
0.997883,0.00109793,1.00025,0.000334226
0.998264,0.00111063,1.00022,0.000330746
0.998397,0.00109973,1.00027,0.000327969
0.998299,0.00108767,1.00024,0.000324245
0.998132,0.00107942,1.00033,0.000325539
0.99827,0.00106979,1.00025,0.00032552
0.998372,0.00105881,1.0002,0.000323332
0.998073,0.00106334,1.00011,0.000325
0.997885,0.00105749,1.00022,0.000329507
0.998,0.00104767,1.00019,0.000326316
0.998199,0.00104327,1.00015,0.000323399
0.998475,0.00104621,1.0002,0.000321305
0.998487,0.00103441,1.00023,0.000318107
0.99837,0.00102556,1.00024,0.000314706
0.998045,0.00103515,1.00023,0.00031128
0.997863,0.00103034,1.00018,0.000309881
0.997827,0.00101945,1.0001,0.000310914
0.997659,0.00101421,1.00017,0.000311061
0.997766,0.00100579,1.00015,0.000308109
0.99777,0.000995261,1.00019,0.000306284
0.997555,0.000994424,1.00017,0.000303418
0.997531,0.000984345,1.00017,0.000300327
0.997428,0.000976534,1.0002,0.000298064
0.997298,0.000970275,1.00016,0.00029604
