value (grid),error (grid),value(cont), error(cont)
1,0,1,0
1.40657,0.00420271,1.40861,0.00430133
1.73697,0.00577561,1.7299,0.00671068
2.00984,0.00687421,2.00685,0.00785061
2.24301,0.0084355,2.24104,0.00911348
2.46372,0.0101377,2.45042,0.00994162
2.65961,0.0107217,2.64321,0.0100441
2.83557,0.0121434,2.82799,0.010552
3.00644,0.0126114,2.99632,0.0115713
3.16795,0.0136708,3.15868,0.0128002
3.31495,0.0133922,3.31502,0.0134185
3.45408,0.0135407,3.47371,0.0132788
3.59914,0.0129542,3.61488,0.0147133
3.74328,0.0141701,3.75512,0.0151674
3.87154,0.0146776,3.88782,0.0154264
3.99652,0.0147069,4.01694,0.0153527
4.11318,0.0156126,4.13102,0.0164233
4.23465,0.017314,4.2355,0.0171328
4.34935,0.0180426,4.34496,0.0167526
4.45954,0.0195142,4.46093,0.0174667
4.56426,0.0196778,4.56056,0.0178346
4.67367,0.0197458,4.66082,0.0187869
4.78659,0.0194208,4.76508,0.0187477
4.89061,0.0195705,4.86623,0.0201075
4.9911,0.0204763,4.9707,0.0204295
5.08169,0.0212649,5.06264,0.0209933
5.17767,0.0204717,5.15875,0.0213184
5.28465,0.020695,5.25275,0.0212118
5.3822,0.0204718,5.36388,0.0216849
5.47014,0.0208786,5.4568,0.0227636
5.55563,0.0228037,5.53818,0.0228978
5.64701,0.0223302,5.62842,0.0220522
5.74409,0.0218174,5.71504,0.0225239
5.83361,0.0212951,5.80971,0.0237136
5.91985,0.0204984,5.88879,0.0234199
6.00786,0.0211225,5.97048,0.0234394
6.08809,0.0222693,6.04685,0.0241519
6.17231,0.0223225,6.11416,0.023922
6.26046,0.0228093,6.18299,0.0244232
6.34351,0.0238027,6.25863,0.0249433
6.40684,0.0243381,6.3508,0.0255792
6.47182,0.0246742,6.43255,0.0262779
6.54961,0.0253449,6.50776,0.0270644
6.62364,0.0256574,6.57665,0.0281554
6.69703,0.0262776,6.65255,0.0283418
6.77504,0.0269604,6.7298,0.0288359
6.84509,0.02674,6.8078,0.0298648
6.91973,0.0262164,6.8761,0.0296154
6.99334,0.0272869,6.9379,0.0307699
7.05408,0.0282753,7.00482,0.0308566
7.13435,0.0280009,7.07556,0.031018
7.20114,0.0288433,7.14579,0.03059
7.26866,0.0285304,7.21189,0.0309817
7.34283,0.0285388,7.27395,0.0315564
7.41312,0.0283519,7.33253,0.0311941
7.48445,0.028962,7.39702,0.0312536
7.54247,0.0287715,7.4582,0.0315193
7.61007,0.0281812,7.52722,0.0311669
7.69085,0.0288377,7.59862,0.0311619
7.75753,0.0306127,7.65767,0.0319838
7.82106,0.0307504,7.71845,0.0306034
7.87923,0.0312915,7.77981,0.0304534
7.93477,0.0317492,7.83916,0.0307451
7.99397,0.0323481,7.90573,0.0308469
8.05653,0.0333906,7.96785,0.0308883
8.12724,0.0333076,8.02939,0.0304985
8.18951,0.0339313,8.09483,0.0311639
8.25249,0.034504,8.15758,0.0314756
8.31452,0.0359844,8.21372,0.0322503
8.37728,0.0368271,8.27724,0.0328893
8.45059,0.0368034,8.3333,0.0327444
8.49882,0.0374565,8.39046,0.0323621
8.54458,0.0376343,8.45449,0.0315002
8.60645,0.0378194,8.51059,0.0319185
8.66339,0.0384315,8.56513,0.031291
8.72493,0.0387011,8.6306,0.0316207
8.77696,0.0389318,8.67989,0.0311382
8.83642,0.0393448,8.74188,0.0308024
8.89879,0.0396369,8.80673,0.0323177
8.96289,0.040332,8.85585,0.0328522
9.02375,0.0405843,8.91165,0.0332705
9.07831,0.0402878,8.97455,0.0321339
9.1322,0.0404287,9.03766,0.033456
9.19238,0.0407425,9.09426,0.0341607
9.24793,0.0403375,9.14135,0.0339445
9.30857,0.0413868,9.19565,0.0337279
9.35225,0.041548,9.24482,0.0340496
9.41245,0.0418224,9.29044,0.0345051
9.46599,0.0424197,9.33815,0.0341044
9.51721,0.0432376,9.39457,0.0348147
9.57809,0.0427673,9.45284,0.0350927
9.62784,0.0421498,9.51183,0.0346917
9.68657,0.0433403,9.57131,0.0348625
9.73945,0.0439244,9.6199,0.035308
9.79862,0.0442734,9.66471,0.0358314
9.8611,0.0447611,9.71607,0.0358497
9.90381,0.0449188,9.76503,0.0359335
9.95857,0.0450616,9.80843,0.0359043
10.0054,0.0447554,9.8536,0.0363079
10.0529,0.0442316,9.89726,0.0372117
