price (call;dir), error(call;dir), price (call;dir), error(call;dir) price (call;dis), error(call;dis), price (call;dis), error(call;dis) 
14.9542,0,5.06849,0,14.5394,0,5.82921,0
14.7924,0.161796,5.30681,0.238321,14.4779,0.0614707,5.58659,0.24262
15.3208,0.536641,5.33526,0.140505,14.9848,0.508143,5.52194,0.154274
15.2175,0.393265,5.38335,0.110379,15.0666,0.368501,5.58922,0.128166
15.1152,0.321344,5.34696,0.0929227,14.8839,0.338893,5.61496,0.10256
14.9931,0.289385,5.42863,0.111474,14.7335,0.314933,5.62379,0.0842036
15.0007,0.244691,5.3807,0.105704,14.8481,0.289813,5.60633,0.0732757
15.0831,0.227356,5.34146,0.099598,14.8619,0.251362,5.56748,0.074403
15.07,0.200933,5.35367,0.0886819,14.9568,0.241126,5.52775,0.0767119
15.0161,0.18762,5.32163,0.0855457,14.8833,0.227848,5.50502,0.0722788
14.9141,0.198009,5.32691,0.0775588,14.8843,0.206099,5.53024,0.0700757
14.912,0.180769,5.36693,0.0813285,14.9644,0.204457,5.48584,0.0778712
14.9387,0.168407,5.38121,0.0761631,14.9757,0.188417,5.47595,0.0723102
14.9732,0.159686,5.38269,0.0705289,14.9848,0.174675,5.47613,0.0669465
14.9655,0.148858,5.38794,0.0658683,15.0207,0.166531,5.48881,0.0636001
14.953,0.139804,5.38224,0.0618776,15.0184,0.155792,5.50417,0.0614433
14.9226,0.134791,5.39231,0.0589908,14.9932,0.148495,5.47197,0.0660917
14.8745,0.135862,5.40009,0.0561586,14.9979,0.140079,5.45117,0.0656901
14.8453,0.1318,5.41038,0.0541081,14.9787,0.133875,5.44101,0.0629615
14.8369,0.125319,5.45234,0.0662945,14.9681,0.127451,5.4525,0.0608253
14.8367,0.119203,5.45715,0.0632421,14.9363,0.125317,5.46201,0.0586328
14.8703,0.118516,5.46366,0.0606495,14.9951,0.133151,5.47328,0.0570295
14.8892,0.11481,5.46487,0.0579652,14.9878,0.127437,5.47172,0.0545161
14.9191,0.11392,5.46244,0.0555506,14.981,0.122203,5.49076,0.0555611
14.9219,0.109304,5.44328,0.056624,15.0019,0.119068,5.50083,0.0542356
14.8973,0.107859,5.43399,0.0551899,14.9615,0.121324,5.50543,0.0523105
14.8741,0.106356,5.4423,0.0537538,14.9661,0.116833,5.50016,0.0506111
14.869,0.102613,5.44459,0.0518489,14.9911,0.115333,5.50057,0.0487717
14.8438,0.102175,5.4571,0.0515687,14.9991,0.111571,5.50154,0.04707
14.8419,0.0987271,5.46679,0.0507539,15.0202,0.109834,5.50057,0.0454844
14.8123,0.0999735,5.48532,0.0524708,15.04,0.108061,5.49166,0.0448853
14.795,0.0983352,5.49666,0.0520551,15.0656,0.107721,5.4803,0.0449196
14.8205,0.0986621,5.49246,0.0506276,15.0545,0.104999,5.47126,0.0444667
14.8188,0.0957312,5.50065,0.0497938,15.0706,0.103128,5.47813,0.0436824
14.826,0.0932309,5.49866,0.048391,15.0599,0.100701,5.46851,0.0434934
14.8158,0.0911703,5.49576,0.0471168,15.0075,0.111039,5.48393,0.0449951
14.8268,0.0893462,5.49274,0.0459251,15.0436,0.113889,5.47077,0.0456994
14.8374,0.0876032,5.4916,0.0447147,15.0625,0.112448,5.46875,0.0445263
14.8207,0.0869461,5.49113,0.0435557,15.057,0.109663,5.46303,0.0437454
14.8499,0.0896587,5.48519,0.0428662,15.0392,0.108364,5.45855,0.0428723
14.8431,0.087713,5.48471,0.0418103,15.0209,0.10726,5.45756,0.0418253
14.8669,0.0888565,5.47626,0.0416688,15.0193,0.104687,5.44735,0.0420736
14.8608,0.0869824,5.46707,0.041714,15.011,0.102563,5.45314,0.0414892
14.8806,0.0872695,5.4594,0.041471,14.9913,0.102119,5.45265,0.0405383
14.8874,0.0855752,5.47193,0.0424325,14.984,0.100086,5.45533,0.0397181
14.9009,0.0847791,5.46393,0.0422641,14.9827,0.097896,5.45499,0.0388465
14.8939,0.0832492,5.46652,0.0414361,14.9842,0.0958024,5.44018,0.0407937
14.909,0.0828798,5.46007,0.0410726,14.9879,0.0938572,5.43513,0.0402528
14.8912,0.0831076,5.46079,0.0402321,15.0085,0.0942026,5.43345,0.0394587
14.8833,0.0818065,5.45673,0.0396285,15.0287,0.094499,5.42156,0.0404468
14.8761,0.0805113,5.46014,0.038993,15.0264,0.0926565,5.42718,0.040042
14.8546,0.0818274,5.46596,0.0386771,15.0226,0.0909366,5.4272,0.0392644
14.8491,0.080454,5.4689,0.0380542,15.0279,0.0893626,5.43312,0.0389691
14.852,0.0790021,5.46891,0.0373428,15.0355,0.0880165,5.43808,0.0385602
14.8463,0.0777582,5.4669,0.0367128,15.0561,0.0888232,5.43639,0.0378902
14.8399,0.0766251,5.47159,0.0363556,15.0466,0.087735,5.43683,0.0372101
14.8406,0.0752721,5.48117,0.0369739,15.066,0.0883337,5.43233,0.0368273
14.8436,0.0740215,5.47812,0.0364586,15.0621,0.0868849,5.43125,0.0362028
14.8329,0.0735371,5.48769,0.0370908,15.057,0.0855512,5.43693,0.0360335
14.8427,0.0729735,5.48641,0.0364897,15.0478,0.0846164,5.44833,0.0372178
14.8498,0.0721169,5.48761,0.0359066,15.052,0.0833233,5.4427,0.0370335
14.8539,0.0710591,5.48367,0.0355415,15.0322,0.0843291,5.44693,0.0366763
14.8609,0.070275,5.483,0.0349793,15.0137,0.085002,5.45378,0.0367345
14.8522,0.0697148,5.4802,0.0345422,15.0091,0.0837895,5.45977,0.0366482
14.8645,0.0697211,5.48044,0.0340075,15.0098,0.0824927,5.46553,0.0365363
14.8789,0.0701638,5.47862,0.033538,14.9911,0.0833416,5.46136,0.0362187
14.879,0.0691087,5.47569,0.033163,14.9762,0.0834356,5.46721,0.0361509
14.8718,0.0684651,5.47524,0.0326748,14.9782,0.0822245,5.46409,0.0357525
14.8742,0.067508,5.47564,0.0322003,14.9791,0.0810288,5.46475,0.0352367
14.8758,0.0665553,5.47716,0.0317733,14.9841,0.0800192,5.46705,0.0348061
14.8877,0.066683,5.47684,0.0313242,14.9988,0.08024,5.46224,0.0346482
14.8954,0.0662011,5.47142,0.0313577,14.997,0.0791378,5.46354,0.0341884
14.8919,0.0653787,5.47851,0.031727,14.9888,0.0784712,5.46224,0.0337421
14.8958,0.0646043,5.47235,0.0318968,14.9803,0.0778715,5.4744,0.0354369
14.8921,0.0638459,5.47312,0.031478,14.9947,0.0781508,5.47223,0.0350286
14.8959,0.0631193,5.47084,0.0311444,14.9924,0.077149,5.46692,0.0349704
14.8943,0.0623156,5.47087,0.0307373,14.988,0.076268,5.46966,0.0346219
14.8867,0.0619793,5.46868,0.0304196,14.9977,0.0759032,5.47164,0.0342321
14.8869,0.06119,5.46491,0.0302679,14.9956,0.074964,5.47099,0.0338022
14.8924,0.0606735,5.46872,0.0301288,14.9971,0.0740368,5.4744,0.0335512
14.9045,0.0611323,5.47211,0.0299466,14.9985,0.0731297,5.48001,0.033606
14.9169,0.061625,5.47359,0.0296164,14.9859,0.0733223,5.47928,0.0332019
14.9209,0.0610092,5.47183,0.0293103,14.973,0.0735811,5.48752,0.0338195
14.9205,0.0602799,5.47061,0.0289849,14.9747,0.0727219,5.48224,0.0338286
14.9243,0.0596928,5.46707,0.0288607,14.9796,0.0720279,5.48126,0.0334427
14.9208,0.0591016,5.46933,0.0286128,14.9806,0.0711913,5.47732,0.033286
14.924,0.0585054,5.46896,0.0282844,14.9738,0.0706914,5.47629,0.0329172
14.9243,0.0578379,5.46746,0.0280015,14.9769,0.0699506,5.47671,0.0325437
14.9243,0.0571843,5.46611,0.0277178,14.9795,0.0692112,5.47659,0.0321762
14.9135,0.057569,5.4684,0.0275036,14.9767,0.0684954,5.47473,0.0318706
14.9177,0.0570878,5.46633,0.0272789,14.9718,0.0679158,5.47975,0.0319147
14.9124,0.056716,5.46425,0.0270605,14.98,0.0676731,5.48131,0.0316043
14.9159,0.0562104,5.45758,0.0275852,14.9732,0.0672861,5.48822,0.0320181
14.9203,0.0557823,5.45448,0.0274668,14.952,0.0698772,5.49933,0.0335661
14.9326,0.0565567,5.45492,0.0271797,14.9513,0.0691409,5.49538,0.0334446
14.9348,0.056008,5.4537,0.0269226,14.9481,0.0684903,5.49656,0.0331154
14.9387,0.0555604,5.45201,0.0266975,14.9363,0.0688056,5.49869,0.0328415
14.9341,0.0551764,5.45059,0.0264618,14.9347,0.0681193,5.49763,0.0325221
14.9353,0.0546288,5.44982,0.0262043,14.935,0.0674286,5.49102,0.0328623
14.9395,0.0542435,5.44848,0.0259756,14.947,0.0678119,5.49132,0.0325334
