#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.211735   -0.211735           0
           2   -0.262493   -0.237114   0.0179455
           3   -0.287648   -0.253958   0.0182289
           4   -0.298503   -0.265094   0.0167309
           5   -0.335875   -0.279251   0.0184246
           6    -0.33278   -0.288172   0.0173801
           7   -0.296715   -0.289393   0.0149401
           8   -0.326255      -0.294   0.0137648
           9   -0.321636   -0.297071   0.0125732
          10   -0.325059    -0.29987   0.0116232
