#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.11918     2.11918           0
           2     2.15317     2.13618   0.0120168
           3     2.16982     2.14739   0.0121663
           4     2.17714     2.15483   0.0111687
           5     2.20193     2.16425   0.0122818
           6     2.19991     2.17019   0.0115844
           7     2.17594     2.17101  0.00995853
           8     2.19554     2.17408  0.00917358
           9     2.19253     2.17613  0.00838025
          10      2.1948       2.178  0.00774738
