#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02669     3.02669           0
           2     3.19673     3.11171   0.0601179
           3     3.09885     3.10742   0.0402311
           4     2.90379     3.05651   0.0534232
           5     2.71991     2.98919   0.0738401
           6      2.5671     2.91884   0.0889405
           7     2.46207     2.85359   0.0972698
           8     2.38689     2.79525    0.101103
           9     2.33008     2.74357    0.102231
          10     2.29317     2.69853    0.101445
          11     2.27855     2.66035   0.0991473
          12     2.24208     2.62549   0.0968182
          13     2.18273     2.59143   0.0951728
          14     2.16247     2.56079   0.0931765
          15     2.18098     2.53547   0.0903397
          16      2.1792     2.51321   0.0873946
          17     2.17144      2.4931   0.0845344
          18     2.17613     2.47549   0.0816516
          19     2.18054     2.45997    0.078816
          20      2.1997     2.44696    0.075942
          21     2.23263     2.43675   0.0730083
          22     2.21439     2.42664   0.0703859
          23     2.21503     2.41744   0.0679243
          24      2.2245      2.4094   0.0655681
          25     2.21729     2.40172   0.0633941
          26     2.20848     2.39429     0.06139
          27     2.14987     2.38523     0.05978
          28      2.1344     2.37627   0.0583124
          29     2.12088     2.36747   0.0569628
          30     2.11703     2.35912   0.0556723
          31     2.12834     2.35168   0.0543719
          32      2.1275     2.34467   0.0531222
          33     2.09896     2.33722   0.0520316
          34     2.08399     2.32978   0.0510315
          35     2.10209     2.32327   0.0499864
          36     2.12127     2.31766   0.0489118
          37     2.09929     2.31176   0.0479446
          38     2.11231     2.30651   0.0469693
          39     2.11991     2.30172    0.046008
          40     2.13131     2.29746   0.0450547
          41     2.10668     2.29281   0.0441954
          42     2.11354     2.28854   0.0433488
          43     2.09616     2.28407   0.0425709
          44      2.0928     2.27972   0.0418247
          45      2.0945     2.27561   0.0410973
          46     2.11473     2.27211   0.0403524
          47     2.12534     2.26899   0.0396145
          48     2.13864     2.26627   0.0388822
          49     2.13467     2.26358   0.0381813
          50     2.12361     2.26078   0.0375202
          51     2.12709     2.25816    0.036876
          52     2.10437     2.25521   0.0362852
          53     2.12099     2.25267   0.0356888
          54     2.08432     2.24956   0.0351638
          55     2.11169     2.24705   0.0346137
          56     2.10321     2.24448   0.0340908
          57     2.08661     2.24171    0.033605
          58     2.07801     2.23889   0.0331439
          59     2.05521     2.23578   0.0327281
          60     2.02808     2.23231   0.0323651
          61     2.00873     2.22865   0.0320414
          62     2.00016     2.22496   0.0317359
          63     2.02745     2.22183   0.0313866
          64     2.03502     2.21891   0.0310316
          65     2.04252      2.2162   0.0306726
          66     2.02922     2.21336   0.0303384
          67     2.00696     2.21028   0.0300416
          68     1.96647      2.2067    0.029813
          69     1.96148     2.20314    0.029592
          70     1.95684     2.19962   0.0293777
          71     1.95413     2.19617   0.0291667
          72     1.94055     2.19262   0.0289769
          73     1.93509     2.18909   0.0287939
          74      1.9339     2.18564   0.0286105
          75     1.96105     2.18265   0.0283853
          76     1.98147        2.18    0.028135
          77     2.01188     2.17781   0.0278542
          78     1.99365     2.17545    0.027597
          79     1.96329     2.17277    0.027378
          80     1.95736     2.17008   0.0271679
          81     1.93643     2.16719   0.0269852
          82     1.94304     2.16446   0.0267942
          83     1.90933     2.16138   0.0266471
          84     1.91154     2.15841   0.0264953
          85     1.92941     2.15572   0.0263202
          86     1.94012     2.15321   0.0261333
          87     1.91969     2.15052   0.0259704
          88      1.8956     2.14763   0.0258363
          89     1.90383     2.14489   0.0256908
          90     1.90695     2.14224    0.025541
          91      1.9219     2.13982   0.0253749
          92      1.9428     2.13768   0.0251893
          93     1.96334     2.13581   0.0249881
          94     1.96413     2.13398   0.0247889
          95      1.9788     2.13235   0.0245817
          96     1.99617     2.13093   0.0243666
          97     2.00183      2.1296   0.0241517
          98     2.02057     2.12849   0.0239309
          99     2.03175     2.12751   0.0237091
         100     2.02086     2.12644    0.023496
         101     2.01932     2.12538   0.0232872
         102     2.01695     2.12432   0.0230832
         103     2.02908     2.12339   0.0228776
         104     1.99977      2.1222   0.0226885
         105      1.9993     2.12103   0.0225026
         106     2.01592     2.12004   0.0223121
         107     2.04622     2.11935   0.0221143
         108     2.06405     2.11884   0.0219154
         109     2.10647     2.11873   0.0217147
         110     2.04856     2.11809   0.0215266
         111     1.98391     2.11688   0.0213666
         112     2.00009     2.11584   0.0212013
         113     2.00475     2.11485   0.0210364
         114      2.0344     2.11415   0.0208637
         115     1.99885     2.11315   0.0207064
         116     1.97489     2.11195   0.0205621
         117     1.98117     2.11084   0.0204168
         118     1.97805     2.10971   0.0202747
         119     1.98568     2.10867   0.0201311
         120     1.99739     2.10774   0.0199847
         121     2.01438     2.10697   0.0198344
         122     2.02447     2.10629   0.0196834
         123     2.07313     2.10602   0.0195252
         124     2.06241     2.10567   0.0193709
         125     2.05588     2.10527     0.01922
         126     2.02077      2.1046   0.0190792
         127     2.01245     2.10388   0.0189428
         128     2.00614     2.10311   0.0188102
         129     2.00947     2.10239   0.0186783
         130     2.03624     2.10188   0.0185416
         131     2.01227      2.1012   0.0184127
         132     2.02211      2.1006   0.0182829
         133      2.0132     2.09994   0.0181573
         134     2.01404      2.0993   0.0180331
         135     1.99299     2.09851   0.0179167
         136     1.99363     2.09774   0.0178015
         137     2.02215     2.09719   0.0176801
         138     2.02999      2.0967   0.0175587
         139     2.03576     2.09626   0.0174379
         140     2.03732     2.09584   0.0173184
         141     2.04552     2.09548   0.0171992
         142     1.99566     2.09478   0.0170925
         143     1.97646     2.09395    0.016993
         144     1.97134      2.0931   0.0168963
         145     2.00017     2.09246   0.0167919
         146     2.02982     2.09203   0.0166824
         147     2.03367     2.09164   0.0165736
         148     2.01576     2.09112   0.0164696
         149     1.99492     2.09048   0.0163717
         150     2.00921     2.08994   0.0162715
         151     1.99471      2.0893    0.016176
         152      1.9744     2.08855   0.0160872
         153     1.99638     2.08795   0.0159933
