#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59026     1.59026           0
           2      1.5893     1.58978  0.00033824
           3     1.59338     1.59098  0.00100573
           4     1.59438     1.59183  0.00105419
           5     1.59513     1.59249   0.0010295
           6     1.59439     1.59281 0.000905145
           7     1.59518     1.59315 0.000836812
           8     1.59563     1.59346 0.000787674
           9     1.59583     1.59372 0.000743053
          10     1.59571     1.59392 0.000694832
          11     1.59633     1.59414 0.000665338
          12     1.59667     1.59435 0.000642327
          13     1.59676     1.59453 0.000619054
          14     1.59551      1.5946 0.000578706
          15     1.59693     1.59476 0.000560442
          16     1.59542      1.5948 0.000526949
          17      1.5964     1.59489  0.00050423
          18     1.59569     1.59494 0.000478129
          19     1.59613       1.595  0.00045706
          20     1.59535     1.59502 0.000434547
          21     1.59629     1.59508 0.000418035
          22     1.59579     1.59511 0.000400271
          23     1.59594     1.59515 0.000384469
          24     1.59573     1.59517 0.000369226
          25     1.59641     1.59522 0.000357787
          26     1.59616     1.59526 0.000345836
          27     1.59679     1.59531 0.000337658
          28      1.5964     1.59535 0.000327806
          29     1.59614     1.59538 0.000317634
          30     1.59667     1.59542 0.000309955
          31     1.59602     1.59544  0.00030055
          32     1.59646     1.59547 0.000292837
          33     1.59639      1.5955 0.000285265
          34     1.59618     1.59552 0.000277581
          35      1.5959     1.59553 0.000269863
          36     1.59681     1.59557 0.000264676
          37     1.59607     1.59558 0.000257872
          38     1.59607     1.59559 0.000251404
          39     1.59563      1.5956  0.00024496
          40     1.59717     1.59563 0.000241976
          41      1.5955     1.59563 0.000236095
          42     1.59644     1.59565  0.00023125
          43     1.59652     1.59567 0.000226757
          44     1.59571     1.59567 0.000221606
          45     1.59602     1.59568 0.000216818
          46     1.59589     1.59568 0.000212155
          47     1.59608     1.59569  0.00020781
          48     1.59625      1.5957 0.000203805
          49     1.59591     1.59571 0.000199689
          50     1.59601     1.59571 0.000195788
          51     1.59573     1.59572 0.000191949
          52     1.59642     1.59573 0.000188731
          53     1.59595     1.59573 0.000185218
          54     1.59602     1.59574 0.000181862
          55     1.59611     1.59574 0.000178681
          56     1.59619     1.59575 0.000175668
          57      1.5963     1.59576  0.00017285
          58     1.59612     1.59577 0.000169979
          59     1.59723     1.59579 0.000168902
          60     1.59619      1.5958 0.000166214
          61     1.59649     1.59581 0.000163869
          62     1.59607     1.59582  0.00016128
          63     1.59621     1.59582 0.000158844
          64      1.5965     1.59583 0.000156716
          65     1.59627     1.59584 0.000154449
          66     1.59681     1.59585 0.000152809
          67     1.59676     1.59587 0.000151122
          68     1.59696     1.59588 0.000149757
          69     1.59668     1.59589 0.000148032
          70     1.59644      1.5959 0.000146121
          71     1.59689     1.59592 0.000144727
          72     1.59668     1.59593 0.000143107
          73     1.59653     1.59594 0.000141385
          74     1.59676     1.59595  0.00013991
          75     1.59621     1.59595 0.000138089
          76     1.59656     1.59596 0.000136505
          77      1.5964     1.59596 0.000134852
          78      1.5968     1.59597 0.000133553
          79     1.59683     1.59599 0.000132296
          80     1.59706       1.596  0.00013132
          81     1.59662     1.59601  0.00012992
          82     1.59681     1.59602 0.000128703
          83     1.59678     1.59603 0.000127482
          84     1.59687     1.59604 0.000126359
          85     1.59617     1.59604 0.000124883
          86     1.59706     1.59605 0.000123998
          87     1.59674     1.59606 0.000122827
          88     1.59666     1.59606 0.000121621
          89     1.59661     1.59607  0.00012041
          90     1.59673     1.59608 0.000119298
          91     1.59634     1.59608 0.000118022
          92     1.59661     1.59609 0.000116878
          93     1.59654     1.59609 0.000115722
          94     1.59677      1.5961 0.000114716
          95     1.59636      1.5961 0.000113541
          96     1.59637      1.5961 0.000112393
          97      1.5968     1.59611 0.000111465
          98     1.59683     1.59612 0.000110569
          99      1.5963     1.59612 0.000109468
         100     1.59698     1.59613 0.000108713
