#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.471739   -0.471739           0
           2   -0.439572   -0.455655   0.0113726
           3   -0.454092   -0.455134  0.00759367
           4   -0.463331   -0.457183  0.00596534
           5   -0.444449   -0.454637  0.00528804
           6   -0.422762   -0.449324  0.00655264
           7   -0.424664   -0.445801  0.00649488
           8   -0.407518   -0.441016  0.00723426
           9   -0.411827   -0.437773   0.0071204
          10   -0.404639   -0.434459  0.00713774
          11   -0.429582   -0.434016  0.00650261
          12   -0.427349    -0.43346  0.00598441
          13   -0.411703   -0.431787  0.00575335
          14   -0.374389   -0.427687  0.00664447
          15   -0.363788   -0.423427  0.00744284
          16   -0.374909   -0.420395  0.00757024
          17   -0.404092   -0.419436  0.00718541
          18   -0.414533   -0.419163  0.00679138
          19   -0.421134   -0.419267  0.00643473
          20    -0.41392      -0.419  0.00611855
          21   -0.365841   -0.416468   0.0063292
          22   -0.312027   -0.411721  0.00761659
          23    -0.32459   -0.407933  0.00817342
          24    -0.32785   -0.404596  0.00848669
          25   -0.355459    -0.40263  0.00837173
          26   -0.386996   -0.402029   0.0080713
          27    -0.38236   -0.401301  0.00780517
          28   -0.383766   -0.400674   0.0075515
          29   -0.364451   -0.399425  0.00739368
          30   -0.405194   -0.399618  0.00714973
          31   -0.440869   -0.400948  0.00704184
          32   -0.420738   -0.401567  0.00684888
          33   -0.438312    -0.40268  0.00673125
          34    -0.40334     -0.4027   0.0065333
          35   -0.364307   -0.401603  0.00643806
          36   -0.362605   -0.400519   0.0063497
          37   -0.351601   -0.399197  0.00631424
          38   -0.358658    -0.39813  0.00623754
          39   -0.377841    -0.39761  0.00609926
          40   -0.363593    -0.39676  0.00600578
          41   -0.369181   -0.396087  0.00589684
          42   -0.379025   -0.395681  0.00577042
          43   -0.390946   -0.395571  0.00563727
          44   -0.396151   -0.395584  0.00550917
          45   -0.375456   -0.395137  0.00540487
          46   -0.343223   -0.394008  0.00540391
          47   -0.347318   -0.393015  0.00537947
          48   -0.347736   -0.392071  0.00534947
          49   -0.360045   -0.391418  0.00528007
          50   -0.370803   -0.391005  0.00519054
          51   -0.378501    -0.39076  0.00509455
          52   -0.360899   -0.390186  0.00502884
          53   -0.331446   -0.389078  0.00505461
          54    -0.36378   -0.388609  0.00498267
          55   -0.422211    -0.38922  0.00492939
          56   -0.431733   -0.389979  0.00489947
          57   -0.434339   -0.390758  0.00487493
          58   -0.417064   -0.391211  0.00481194
          59   -0.390226   -0.391194  0.00473041
          60   -0.382209   -0.391045  0.00465394
          61   -0.357256   -0.390491  0.00461049
          62    -0.36927   -0.390149  0.00454881
          63   -0.384048   -0.390052  0.00447764
          64   -0.373949     -0.3898  0.00441474
          65   -0.357828   -0.389308  0.00437414
          66   -0.343716   -0.388617  0.00436207
          67   -0.340836   -0.387904  0.00435487
          68   -0.343232   -0.387247   0.0043401
          69   -0.350261   -0.386711  0.00431017
          70   -0.331577   -0.385924  0.00431996
