#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.37912     1.37912           0
           2     1.35761     1.36836  0.00760336
           3     1.36699      1.3679  0.00508275
           4     1.37323     1.36924  0.00398262
           5     1.36084     1.36756   0.0035222
           6     1.34639     1.36403  0.00435776
           7     1.34754     1.36167  0.00432539
           8     1.33618     1.35849   0.0048179
           9     1.33904     1.35633  0.00474231
          10     1.33397     1.35409  0.00476581
          11     1.35081     1.35379  0.00434187
          12     1.34957     1.35344   0.0039943
          13     1.33919     1.35234  0.00383451
          14     1.31397      1.3496  0.00443326
          15     1.30748      1.3468  0.00494773
          16     1.31426     1.34476   0.0050391
          17     1.33354      1.3441  0.00478574
          18     1.34079     1.34392   0.0045234
          19     1.34497     1.34397  0.00428567
          20     1.34093     1.34382  0.00407409
          21     1.30869     1.34215  0.00420952
          22     1.27267     1.33899   0.0050661
          23     1.28074     1.33646  0.00544219
          24     1.28266     1.33422  0.00565824
          25     1.30124      1.3329  0.00558353
          26     1.32226     1.33249  0.00538374
          27     1.31922       1.332   0.0052067
          28     1.32063     1.33159  0.00503656
          29      1.3068     1.33074  0.00493487
          30     1.33414     1.33085  0.00477168
          31     1.35829     1.33173  0.00469915
          32     1.34504     1.33215  0.00457066
          33     1.35659     1.33289  0.00449178
          34     1.33335      1.3329  0.00435969
          35     1.30769     1.33218  0.00429422
          36     1.30614     1.33146  0.00423543
          37     1.29883     1.33058  0.00421178
          38      1.3036     1.32987  0.00416036
          39     1.31611     1.32952  0.00406862
          40      1.3067     1.32895  0.00400668
          41     1.31072      1.3285  0.00393353
          42     1.31693     1.32823  0.00384951
          43     1.32509     1.32815  0.00376068
          44     1.32865     1.32816  0.00367522
          45     1.31503     1.32787  0.00360512
          46     1.29361     1.32713  0.00360288
          47     1.29569     1.32646  0.00358778
          48     1.29615     1.32583  0.00356817
          49     1.30442     1.32539    0.003522
          50     1.31143     1.32511  0.00346261
          51     1.31671     1.32495  0.00339864
          52     1.30513     1.32456  0.00335458
          53     1.28542     1.32383   0.0033716
          54     1.30655     1.32351  0.00332431
          55     1.34571     1.32391  0.00328828
          56     1.35198     1.32441  0.00326755
          57     1.35433     1.32494  0.00325211
          58     1.34234     1.32524  0.00320986
          59     1.32471     1.32523  0.00315547
          60     1.31931     1.32513  0.00310442
          61     1.30251     1.32476   0.0030756
          62     1.31041     1.32453  0.00303469
          63     1.32048     1.32446  0.00298719
          64     1.31374     1.32429  0.00294521
          65     1.30297     1.32397  0.00291811
          66     1.29371     1.32351  0.00290967
          67     1.29153     1.32303  0.00290513
          68     1.29329     1.32259  0.00289515
          69     1.29785     1.32223  0.00287531
          70     1.28548     1.32171  0.00288177
          71     1.28999     1.32126  0.00287559
          72     1.29643     1.32092  0.00285626
          73     1.31286     1.32081  0.00281927
          74     1.32045      1.3208  0.00278117
          75     1.32149     1.32081   0.0027441
