#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01779     2.01779           0
           2     2.13115     2.07447   0.0400786
           3      2.0659     2.07161   0.0268207
           4     1.93586     2.03768   0.0356155
           5     1.81327     1.99279   0.0492267
           6      1.7114      1.9459   0.0592936
           7     1.64138     1.90239   0.0648466
           8     1.59126      1.8635   0.0674018
           9     1.55338     1.82904   0.0681538
          10     1.52878     1.79902     0.06763
          11     1.51903     1.77357   0.0660982
          12     1.49472     1.75033   0.0645455
          13     1.45515     1.72762   0.0634486
          14     1.44165      1.7072   0.0621177
          15     1.45399     1.69032   0.0602265
          16      1.4528     1.67547    0.058263
          17     1.44763     1.66207   0.0563562
          18     1.45075     1.65033   0.0544344
          19     1.45369     1.63998    0.052544
          20     1.46646      1.6313    0.050628
          21     1.48842      1.6245   0.0486722
          22     1.47626     1.61776   0.0469239
          23     1.47669     1.61163   0.0452829
          24       1.483     1.60627   0.0437121
          25     1.47819     1.60114   0.0422627
          26     1.47232     1.59619   0.0409267
          27     1.43325     1.59016   0.0398533
          28     1.42293     1.58418   0.0388749
          29     1.41392     1.57831   0.0379752
          30     1.41135     1.57275   0.0371149
          31     1.41889     1.56778   0.0362479
          32     1.41834     1.56311   0.0354148
          33     1.39931     1.55815   0.0346877
          34     1.38933     1.55318    0.034021
          35     1.40139     1.54885   0.0333243
          36     1.41418     1.54511   0.0326079
          37     1.39952     1.54117   0.0319631
          38      1.4082     1.53767   0.0313129
          39     1.41327     1.53448    0.030672
          40     1.42088     1.53164   0.0300364
          41     1.40445     1.52854   0.0294636
          42     1.40903     1.52569   0.0288992
          43     1.39744     1.52271   0.0283806
          44      1.3952     1.51981   0.0278832
          45     1.39634     1.51707   0.0273982
          46     1.40982     1.51474   0.0269016
          47      1.4169     1.51266   0.0264097
          48     1.42576     1.51085   0.0259215
          49     1.42311     1.50906   0.0254542
          50     1.41574     1.50719   0.0250135
          51     1.41806     1.50544    0.024584
          52     1.40292     1.50347   0.0241901
          53       1.414     1.50178   0.0237926
          54     1.38955      1.4997   0.0234426
          55      1.4078     1.49803   0.0230758
          56     1.40214     1.49632   0.0227272
          57     1.39107     1.49447   0.0224033
          58     1.38534     1.49259    0.022096
          59     1.37014     1.49052   0.0218187
          60     1.35205     1.48821   0.0215768
          61     1.33915     1.48577    0.021361
          62     1.33344     1.48331   0.0211572
          63     1.35163     1.48122   0.0209244
          64     1.35668     1.47927   0.0206877
          65     1.36168     1.47746   0.0204484
          66     1.35281     1.47558   0.0202256
          67     1.33797     1.47352   0.0200277
          68     1.31098     1.47113   0.0198753
          69     1.30765     1.46876    0.019728
          70     1.30456     1.46642   0.0195851
          71     1.30275     1.46411   0.0194445
          72      1.2937     1.46174   0.0193179
          73     1.29006     1.45939   0.0191959
          74     1.28927     1.45709   0.0190737
          75     1.30737      1.4551   0.0189236
          76     1.32098     1.45333   0.0187567
          77     1.34126     1.45188   0.0185695
          78      1.3291      1.4503    0.018398
          79     1.30886     1.44851    0.018252
          80     1.30491     1.44672   0.0181119
          81     1.29095     1.44479   0.0179901
          82     1.29536     1.44297   0.0178628
          83     1.27289     1.44092   0.0177647
          84     1.27436     1.43894   0.0176635
          85     1.28627     1.43714   0.0175468
          86     1.29341     1.43547   0.0174222
          87     1.27979     1.43368   0.0173136
          88     1.26373     1.43175   0.0172242
          89     1.26922     1.42993   0.0171272
          90      1.2713     1.42816   0.0170274
          91     1.28127     1.42655   0.0169166
          92      1.2952     1.42512   0.0167929
          93     1.30889     1.42387   0.0166587
          94     1.30942     1.42265   0.0165259
          95      1.3192     1.42156   0.0163878
          96     1.33078     1.42062   0.0162444
          97     1.33455     1.41973   0.0161011
          98     1.34705     1.41899   0.0159539
          99      1.3545     1.41834    0.015806
         100     1.34724     1.41763    0.015664
         101     1.34621     1.41692   0.0155248
         102     1.34463     1.41621   0.0153888
         103     1.35272      1.4156   0.0152517
         104     1.33318      1.4148   0.0151256
         105     1.33286     1.41402   0.0150017
         106     1.34395     1.41336   0.0148747
         107     1.36415      1.4129   0.0147428
         108     1.37603     1.41256   0.0146103
         109     1.40431     1.41248   0.0144764
         110      1.3657     1.41206   0.0143511
         111     1.32261     1.41125   0.0142444
         112      1.3334     1.41056   0.0141342
         113      1.3365      1.4099   0.0140243
