#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.400891    0.400891           0
           2    0.394227    0.397559  0.00235609
           3    0.396356    0.397158   0.0016045
           4    0.394233    0.396427  0.00135991
           5    0.397962    0.396734  0.00112205
           6    0.399793    0.397244  0.00104448
           7    0.396752    0.397174 0.000897626
           8    0.394528    0.396843 0.000844154
           9    0.394296     0.39656  0.00079637
          10    0.399027    0.396807 0.000753971
          11    0.400433    0.397136 0.000754083
          12     0.39936    0.397322 0.000713641
          13    0.401539    0.397646 0.000728768
          14    0.399987    0.397813 0.000695633
          15    0.395934    0.397688 0.000660444
          16    0.400813    0.397883 0.000647399
          17    0.397932    0.397886 0.000609323
          18    0.388178    0.397347 0.000778387
          19    0.395344    0.397241 0.000744521
          20    0.395264    0.397142 0.000713832
