#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.86515     1.86515           0
           2      1.8856     1.87538  0.00722713
           3     1.90211     1.88429  0.00872661
           4      1.8973     1.88754  0.00712528
           5      1.9376     1.89755   0.0106156
           6     1.92325     1.90183  0.00967165
           7      1.9249     1.90513  0.00883347
           8     1.88326      1.9024  0.00814139
           9     1.87236     1.89906  0.00789134
          10     1.90584     1.89974  0.00713133
          11     1.91525     1.90115  0.00662099
          12     1.86632     1.89824  0.00667504
          13     1.83555     1.89342  0.00770923
          14     1.85922     1.89098  0.00753565
          15     1.90765     1.89209   0.0071148
          16     1.89992     1.89258  0.00668695
          17     1.91071     1.89365  0.00637807
          18     1.88112     1.89295  0.00606159
          19     1.86848     1.89166  0.00587777
          20     1.89697     1.89193  0.00558986
