#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482665   -0.482665           0
           2   -0.481294    -0.48198  0.00048451
           3   -0.482374   -0.482111  0.00034041
           4   -0.482295   -0.482157 0.000258397
           5    -0.48341   -0.482408  0.00030494
           6   -0.482367   -0.482401 0.000254192
           7   -0.482914   -0.482474 0.000228212
           8   -0.482055   -0.482422 0.000205613
           9   -0.482794   -0.482463 0.000186884
          10   -0.482434    -0.48246  0.00016822
          11   -0.482584   -0.482472 0.000153302
          12   -0.482083   -0.482439 0.000143904
          13   -0.482738   -0.482462 0.000134651
          14   -0.482581   -0.482471   0.0001253
          15   -0.483301   -0.482526 0.000128588
          16   -0.481705   -0.482475 0.000130393
          17   -0.482128   -0.482454 0.000124308
          18   -0.482838   -0.482476 0.000119219
          19   -0.482081   -0.482455 0.000114741
          20   -0.482662   -0.482465 0.000109469
