#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0670308   0.0670308           0
           2   0.0744532    0.070742  0.00262421
           3   0.0714168   0.0709669  0.00175909
           4   0.0708904   0.0709478  0.00131942
           5   0.0688124   0.0705207  0.00112253
           6   0.0759288   0.0714221  0.00124582
           7   0.0660668    0.070657  0.00128139
           8   0.0663528    0.070119  0.00122899
           9   0.0672636   0.0698017  0.00113265
          10   0.0752764   0.0703492  0.00114407
          11    0.077124   0.0709651  0.00119439
          12   0.0765924    0.071434  0.00118334
          13   0.0768888   0.0718536  0.00116433
          14   0.0641296   0.0713019  0.00120481
          15   0.0705676    0.071253  0.00112548
          16    0.070012   0.0711754  0.00105781
          17   0.0614224   0.0706017   0.0011406
          18   0.0618724   0.0701167  0.00117582
          19   0.0699968   0.0701104  0.00111395
          20   0.0748076   0.0703453  0.00108273
