#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.5208     10.5208           0
           2     10.1763     10.3485    0.121787
           3     10.1297     10.2756    0.100696
           4     10.1696     10.2491   0.0789292
           5     10.1747     10.2342   0.0645318
           6     10.3107      10.247   0.0550216
           7     10.3462     10.2611   0.0489542
           8     10.2709     10.2624   0.0428502
           9      10.087     10.2429   0.0422871
          10     10.0531     10.2239   0.0421018
          11     9.91599     10.1959    0.046661
          12     10.6207     10.2313   0.0545713
          13     10.4747       10.25   0.0534882
          14     10.0284     10.2342   0.0519571
          15     10.4283     10.2471   0.0500794
          16       10.47     10.2611   0.0488479
          17     10.1015     10.2517   0.0468681
          18      10.342     10.2567   0.0445319
          19      10.293     10.2586   0.0422291
          20      10.217     10.2565   0.0401689
