#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.343862    0.343862           0
           2    0.346114    0.344988 0.000796001
           3    0.346234    0.345403  0.00062979
           4    0.343586    0.344949 0.000614748
           5    0.345233    0.345006 0.000494424
           6     0.34215     0.34453 0.000598741
           7    0.347576    0.344965 0.000652421
           8    0.341388    0.344518  0.00070766
           9    0.346913    0.344784 0.000677232
          10    0.344339     0.34474 0.000610967
          11    0.343773    0.344652 0.000561709
          12    0.345199    0.344697 0.000516749
          13    0.344478     0.34468 0.000477275
          14    0.340222    0.344362 0.000539049
          15    0.345535     0.34444 0.000508748
          16    0.345117    0.344482 0.000478708
          17    0.346401    0.344595 0.000463654
          18    0.343741    0.344548 0.000440316
          19    0.350973    0.344886 0.000531354
          20    0.342835    0.344783 0.000514592
