#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.483315   -0.483315           0
           2   -0.482622   -0.482969 0.000244942
           3   -0.482372    -0.48277 0.000230322
           4     -0.4828   -0.482777 0.000172864
           5    -0.48244    -0.48271 0.000150889
           6   -0.482727   -0.482713 0.000125768
           7   -0.482182   -0.482637 0.000128617
           8    -0.48259   -0.482631 0.000112671
           9   -0.482909   -0.482662 0.000104289
          10   -0.481925   -0.482588 0.000117053
          11   -0.482882   -0.482615 0.000109406
          12   -0.483473   -0.482686 0.000121417
          13   -0.482971   -0.482708 0.000114036
          14   -0.483092   -0.482736 0.000109133
          15    -0.48258   -0.482725 0.000102351
          16   -0.481681    -0.48266 0.000114905
          17   -0.481814    -0.48261 0.000118444
          18   -0.482179   -0.482586  0.00011426
          19   -0.482607   -0.482587 0.000108251
          20   -0.482069   -0.482562 0.000105899
