#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0327452   0.0327452           0
           2   0.0275468    0.030146  0.00183791
           3   0.0285824   0.0296248  0.00129707
           4    0.030948   0.0299556  0.00101411
           5   0.0315912   0.0302827 0.000862435
           6   0.0280572   0.0299118 0.000794466
           7   0.0303096   0.0299686    0.000683
           8   0.0314728   0.0301566 0.000622968
           9   0.0310192   0.0302525 0.000561073
          10    0.029214   0.0301486 0.000514486
          11   0.0312368   0.0302476  0.00047713
          12    0.027862   0.0300488 0.000476989
          13     0.03244   0.0302327 0.000474441
          14    0.030454   0.0302485 0.000440815
          15   0.0302488   0.0302485 0.000411428
          16   0.0297772   0.0302191 0.000386767
          17   0.0311676   0.0302749 0.000368018
          18   0.0313708   0.0303358 0.000352573
          19   0.0328932   0.0304704 0.000358792
          20   0.0297856   0.0304361 0.000342482
