#   N_BLOCK:  ACCEPTANCE:
           1    0.512824
           2    0.512491
           3    0.511157
           4      0.5101
           5    0.510574
           6    0.511329
           7    0.511179
           8     0.51141
           9    0.511285
          10    0.511255
          11    0.511139
          12    0.511117
          13    0.510707
          14    0.510703
          15    0.510962
          16    0.511051
          17    0.511143
          18    0.510929
          19    0.510886
          20    0.510906
          21    0.510894
          22    0.510923
          23    0.510582
          24    0.510524
          25     0.51044
          26    0.510601
          27    0.510555
          28    0.510706
          29    0.510618
          30     0.51064
