# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438 3.24205e-06 3.18756e-06
0.872088  0.00113714 9.70132e-05
0.897737   0.0242196 0.000434145
0.923387    0.163415  0.00128517
0.949037    0.561181  0.00309111
0.974686     1.20049   0.0041839
1.00034     1.86121  0.00548714
1.02599     2.33078  0.00533874
1.05164     2.55312  0.00356411
1.07728     2.54473  0.00343894
1.10293     2.40373  0.00431947
1.12858     2.20168  0.00370516
1.15423     1.97257  0.00375879
1.17988     1.75943  0.00368476
1.20553       1.562  0.00347157
1.23118     1.39316  0.00299502
1.25683     1.24452  0.00290259
1.28248     1.12358  0.00311549
1.30813     1.02608   0.0022801
1.33378    0.944054  0.00240918
1.35943    0.873492  0.00184778
1.38508     0.81744   0.0016559
1.41073    0.778186  0.00154819
1.43638    0.739187  0.00194474
1.46203    0.712283  0.00159563
1.48768    0.691962  0.00202032
1.51333    0.678582  0.00218977
1.53898    0.672818  0.00196946
1.56463    0.671426  0.00190035
1.59028    0.676038  0.00153338
1.61593    0.686861  0.00173685
1.64158    0.702501  0.00214933
1.66723    0.723035  0.00224413
1.69288    0.749716   0.0021382
1.71853    0.778266  0.00183322
1.74418    0.812568  0.00159912
1.76983    0.849984  0.00177282
1.79547    0.892977  0.00142209
1.82112    0.933886  0.00180672
1.84677    0.974187  0.00183463
1.87242     1.01681  0.00199841
1.89807     1.05567  0.00186901
1.92372     1.09199  0.00238014
1.94937     1.12848  0.00210283
1.97502     1.15912  0.00159035
2.00067       1.183  0.00148361
2.02632     1.20187  0.00193917
2.05197     1.21472  0.00146411
2.07762       1.215   0.0015387
2.10327     1.21031  0.00170324
2.12892      1.1962  0.00172777
2.15457     1.17661  0.00217802
2.18022      1.1512  0.00149813
2.20587     1.12665   0.0018927
2.23152     1.09836  0.00199854
2.25717     1.06802  0.00133486
2.28282     1.04095  0.00165846
2.30847     1.01397  0.00168352
2.33412    0.990927  0.00198254
2.35977    0.968495  0.00168573
2.38542    0.950684  0.00157517
2.41107     0.93265  0.00141652
2.43672    0.919037  0.00141426
2.46237    0.909259  0.00143635
2.48802    0.895756  0.00134953
2.51366    0.887128  0.00120526
2.53931    0.887513  0.00119084
