#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47407    -5.47407           0
           2    -5.48585    -5.47996  0.00416447
           3    -5.46611    -5.47534  0.00468132
           4    -5.46278     -5.4722  0.00444078
           5    -5.47143    -5.47205  0.00355531
           6    -5.48974      -5.475  0.00400333
           7    -5.47852     -5.4755  0.00346299
           8    -5.46001    -5.47356  0.00353001
           9    -5.46785    -5.47293  0.00319444
          10    -5.47261     -5.4729  0.00287516
          11    -5.47042    -5.47267  0.00262259
          12    -5.46202    -5.47178  0.00254992
          13    -5.42342    -5.46806  0.00427949
          14    -5.45903    -5.46742  0.00402215
          15    -5.51004    -5.47026  0.00465051
          16    -5.45905    -5.46956  0.00441228
          17    -5.48897     -5.4707    0.004298
          18    -5.43736    -5.46885  0.00444033
          19    -5.45944    -5.46835  0.00423414
          20    -5.47313    -5.46859  0.00402916
          21    -5.47265    -5.46879  0.00384192
          22    -5.46833    -5.46876  0.00366734
          23    -5.43941    -5.46749  0.00372341
          24    -5.45105     -5.4668  0.00363072
          25    -5.46556    -5.46675  0.00348583
          26    -5.46248    -5.46659  0.00335564
          27    -5.45307    -5.46609  0.00326849
          28    -5.48485    -5.46676  0.00321972
          29    -5.46996    -5.46687  0.00311059
          30    -5.47125    -5.46702  0.00301033
