#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.32444     1.32444           0
           2     1.28513     1.30478   0.0138979
           3     1.42834     1.34597   0.0348806
           4     1.43915     1.36926   0.0330354
           5      1.3816     1.37173   0.0265203
           6     1.28243     1.35685   0.0259428
           7      1.2886      1.3471   0.0239987
           8     1.41928     1.35612   0.0226314
           9     1.34361     1.35473   0.0201594
          10     1.34436     1.35369   0.0181701
          11     1.35775     1.35406    0.016522
          12     1.40239     1.35809   0.0156284
          13     1.59459     1.37628   0.0226632
          14     1.41021     1.37871   0.0211736
          15      1.1783     1.36535   0.0236039
          16     1.41467     1.36843   0.0223291
          17     1.25373     1.36168   0.0220114
          18     1.49774     1.36924   0.0220482
          19     1.40118     1.37092   0.0209517
          20     1.32301     1.36853   0.0200406
          21     1.35788     1.36802   0.0190927
          22     1.40496      1.3697   0.0182986
          23     1.54883     1.37749   0.0190886
          24     1.47704     1.38163   0.0187386
          25     1.38727     1.38186   0.0179904
          26     1.37557     1.38162   0.0173001
          27     1.43693     1.38367   0.0167802
          28     1.27269      1.3797   0.0166424
          29     1.39254     1.38015   0.0160744
          30     1.34973     1.37913   0.0155705
