# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438           0           0
0.872088  0.00113103 0.000235648
0.897737   0.0251117  0.00133246
0.923387    0.175928   0.0027806
0.949037    0.586839  0.00513697
0.974686     1.22793  0.00754342
1.00034     1.89287   0.0113157
1.02599     2.34366   0.0125021
1.05164     2.54217   0.0121273
1.07728     2.54123   0.0112949
1.10293      2.3773    0.011634
1.12858     2.17519   0.0123682
1.15423     1.95185   0.0107868
1.17988     1.74442   0.0102964
1.20553     1.54425  0.00890494
1.23118     1.36793   0.0084493
1.25683     1.25109  0.00847952
1.28248     1.12511  0.00879067
1.30813     1.02123  0.00836825
1.33378    0.943591  0.00743108
1.35943    0.866607  0.00614353
1.38508    0.804747  0.00731006
1.41073    0.771823  0.00642851
1.43638    0.746985  0.00573796
1.46203    0.721485  0.00431491
1.48768    0.698889  0.00525838
1.51333    0.684248  0.00542303
1.53898    0.674912  0.00432055
1.56463    0.678895  0.00548762
1.59028     0.68352  0.00498475
1.61593    0.690166  0.00599276
1.64158    0.703146  0.00514833
1.66723    0.728133  0.00499152
1.69288    0.756897  0.00500418
1.71853    0.783638  0.00569709
1.74418    0.820631  0.00409476
1.76983    0.851457  0.00473173
1.79547    0.881593  0.00403426
1.82112    0.933341  0.00401051
1.84677    0.981615  0.00496256
1.87242     1.02463  0.00544236
1.89807     1.05862  0.00570961
1.92372     1.09533  0.00516739
1.94937     1.13518  0.00574829
1.97502     1.15787  0.00492789
2.00067     1.18184  0.00470368
2.02632     1.20684   0.0066506
2.05197     1.22132  0.00644983
2.07762     1.21739  0.00559974
2.10327     1.20734   0.0052652
2.12892     1.18477  0.00392377
2.15457     1.16497  0.00566424
2.18022      1.1423   0.0053963
2.20587     1.12388  0.00561972
2.23152     1.08852   0.0040082
2.25717     1.06344   0.0044084
2.28282     1.03723  0.00416545
2.30847     1.01344  0.00375518
2.33412    0.983371  0.00403341
2.35977    0.965346   0.0031564
2.38542     0.94263  0.00384001
2.41107    0.923217  0.00378586
2.43672    0.908054  0.00364702
2.46237    0.900518  0.00358779
2.48802    0.899759  0.00362848
2.51366    0.894204  0.00393432
2.53931    0.891852   0.0035882
