#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47112    -5.47112           0
           2    -5.44662    -5.45887  0.00866286
           3    -5.45974    -5.45916  0.00578007
           4    -5.42665    -5.45103  0.00826761
           5    -5.44664    -5.45015  0.00666065
           6    -5.42952    -5.44671  0.00637675
           7    -5.38395    -5.43775  0.00993883
           8    -5.41924    -5.43543  0.00896176
           9    -5.46673    -5.43891  0.00861403
          10    -5.43836    -5.43886   0.0077528
          11    -5.45249     -5.4401  0.00714636
          12    -5.41225    -5.43778  0.00691732
          13    -5.43913    -5.43788  0.00638601
          14    -5.46326    -5.43969  0.00618176
          15    -5.46028    -5.44107  0.00592002
          16    -5.43435    -5.44065  0.00556487
          17    -5.44223    -5.44074   0.0052383
          18    -5.43125    -5.44021  0.00497374
          19    -5.43058     -5.4397  0.00473774
          20    -5.39524    -5.43748  0.00499523
          21    -5.42374    -5.43683  0.00480004
          22    -5.46093    -5.43792  0.00470525
          23    -5.43673    -5.43787  0.00450096
          24    -5.46528    -5.43901  0.00445593
          25    -5.40525    -5.43766  0.00447762
          26    -5.46207     -5.4386  0.00440272
          27     -5.4416    -5.43871  0.00424106
          28    -5.41328     -5.4378  0.00418569
          29    -5.45893    -5.43853  0.00410425
          30    -5.43677    -5.43847  0.00396787
