#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.36215     1.36215           0
           2     1.42286      1.3925   0.0214644
           3      1.2924     1.35913    0.030775
           4     1.57786     1.41382   0.0526808
           5     1.39831     1.41072   0.0422358
           6     1.50386     1.42624   0.0379423
           7     1.86465     1.48887   0.0664815
           8     1.56057     1.49783   0.0587723
           9     1.39287     1.48617   0.0533867
          10     1.60608     1.49816   0.0493763
          11     1.41651     1.49074   0.0454421
          12     1.54858     1.49556   0.0419101
          13     1.50503     1.49629   0.0386926
          14     1.44116     1.49235   0.0361286
          15     1.39883     1.48611   0.0342538
          16     1.51657     1.48802   0.0321658
          17     1.55618     1.49203   0.0305226
          18     1.50489     1.49274   0.0288352
          19     1.60184     1.49848   0.0278834
          20     1.67722     1.50742   0.0278846
          21     1.49085     1.50663   0.0265679
          22     1.41459     1.50245   0.0256876
          23     1.56604     1.50521   0.0247191
          24     1.31213     1.49717    0.024964
          25     1.77735     1.50837   0.0263614
          26     1.50045     1.50807   0.0253492
          27     1.54308     1.50937   0.0244435
          28     1.60699     1.51285   0.0238179
          29     1.49557     1.51226    0.023004
          30     1.48666      1.5114    0.022253
