#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.129       1.129           0
           2     1.11334     1.12117  0.00553528
           3     1.12131     1.12121  0.00369038
           4       1.101     1.11616  0.00517769
           5     1.11241     1.11541  0.00419603
           6     1.10244     1.11325  0.00401501
           7     1.07226     1.10739  0.00642191
           8     1.09386      1.1057  0.00583772
           9     1.12588     1.10794  0.00560329
          10     1.10863     1.10801  0.00504338
          11      1.1172     1.10885  0.00465346
          12     1.09046     1.10732  0.00451082
          13     1.10813     1.10738  0.00416426
          14     1.12507     1.10864  0.00405413
          15     1.12192     1.10953  0.00387934
          16     1.10371     1.10916  0.00365387
          17     1.11047     1.10924  0.00343975
          18     1.10258     1.10887   0.0032685
          19      1.1021     1.10851  0.00311586
          20     1.07937     1.10706   0.0032832
          21     1.09732     1.10659  0.00315941
          22     1.12232     1.10731  0.00309558
          23     1.10578     1.10724   0.0029617
          24     1.12625     1.10803  0.00294233
          25     1.08807     1.10724  0.00293099
          26     1.12447      1.1079  0.00289222
          27     1.11009     1.10798  0.00278624
          28     1.09187      1.1074  0.00274548
          29     1.12059     1.10786  0.00268818
          30     1.10826     1.10787   0.0025986
