sigma,mu,exp_H,error,acceptance
0.610107,0.846819,-0.43803,0.00173252,0.559885
0.610107,0.846819,-0.433278,0.00198129,0.574195
0.623894,0.857943,-0.436033,0.00245769,0.568915
0.633845,0.877573,-0.417545,0.00265928,0.57452
0.619954,0.863133,-0.432555,0.00203053,0.56826
0.619954,0.863133,-0.427734,0.00230136,0.552205
0.612063,0.885607,-0.417131,0.00208523,0.5618
0.611446,0.887664,-0.416734,0.00236872,0.55954
0.635153,0.886602,-0.412129,0.00267285,0.57464
0.651525,0.865591,-0.418291,0.00301981,0.58141
0.652236,0.876197,-0.410883,0.00324324,0.584775
0.648144,0.878828,-0.405058,0.00341674,0.58206
0.648144,0.878828,-0.415536,0.00334274,0.58677
0.654174,0.884167,-0.401308,0.00293876,0.584905
0.628776,0.894388,-0.402136,0.00305203,0.56994
0.628776,0.894388,-0.405948,0.00299913,0.584525
0.650284,0.87953,-0.404371,0.00312155,0.582975
0.650284,0.87953,-0.41005,0.00292307,0.590015
0.638368,0.897313,-0.400447,0.00345444,0.57818
0.626507,0.919554,-0.391095,0.00299422,0.5681
