j,  beta, delta,   acc_outer, avg_acc_inn,  last_exp_H,   error,    last_sigma, last_mu 
0,   0.5,    0.5,    0.75,    0.575471,  3.04701,   0.109896,   1.68294,    0.390833
1,   0.588235,    1,    0.4,    0.591653,  -0.30507,   0.00418496,   0.640954,    0.973929
2,   0.692042,    1,    0.55,    0.39716,  -0.203516,   0.00408254,   0.836102,    0.287484
3,   0.814166,    1,    0.75,    0.568033,  1.78818,   0.044716,   1.15209,    1.0568
4,   0.957843,    2,    0.1,    0.647707,  -0.18922,   0.00360712,   0.526521,    0.549861
5,   1.12687,    0.666667,    0.7,    0.50174,  -0.210928,   0.003929,   0.790383,    0.376881
6,   1.32573,    1.33333,    0.25,    0.517065,  -0.420728,   0.001682,   0.64039,    0.721384
7,   1.55969,    0.444444,    0.7,    0.411741,  -0.320573,   0.00273731,   0.610247,    0.604758
8,   1.83493,    0.888889,    0.35,    0.454032,  -0.11757,   0.0134819,   1.16464,    0.0566858
9,   2.15874,    0.296296,    0.65,    0.483873,  0.219545,   0.00665557,   0.636168,    0.0738368
10,   2.53969,    0.592593,    0.6,    0.388495,  -0.241896,   0.00742925,   1.01093,    0.302616
11,   2.98787,    0.592593,    0.5,    0.510788,  -0.248943,   0.00610354,   1.02183,    0.209536
12,   3.51514,    0.592593,    0.45,    0.504206,  -0.228556,   0.00424638,   0.613979,    1.02546
13,   4.13546,    0.592593,    0.25,    0.348604,  -0.251828,   0.00470136,   0.892699,    0.38437
14,   4.86525,    0.197531,    0.9,    0.44375,  -0.0875597,   0.0168539,   1.16915,    0.174253
15,   5.72382,    0.395062,    0.55,    0.496421,  -0.320158,   0.00511843,   0.805209,    0.651936
16,   6.73391,    0.395062,    0.45,    0.506398,  -0.382191,   0.00377764,   0.722319,    0.793994
17,   7.92224,    0.395062,    0.15,    0.504504,  -0.38103,   0.0020786,   0.57311,    0.910812
18,   9.32029,    0.131687,    0.8,    0.546457,  -0.44053,   0.00192477,   0.63854,    0.783897
19,   10.965,    0.263374,    0.25,    0.55099,  -0.412698,   0.00239387,   0.678708,    0.73806
20,   12.9001,    0.0877915,    0.65,    0.528042,  -0.429496,   0.002178,   0.607299,    0.844612
21,   15.1765,    0.175583,    0.45,    0.550382,  -0.42783,   0.00164393,   0.64128,    0.731849
22,   17.8547,    0.175583,    0.4,    0.532573,  -0.41305,   0.00174744,   0.656737,    0.709302
23,   21.0056,    0.175583,    0.3,    0.506439,  -0.436948,   0.00171817,   0.596356,    0.778879
24,   24.7124,    0.0585277,    0.7,    0.536374,  -0.419891,   0.00315453,   0.678663,    0.757568
25,   29.0735,    0.117055,    0.6,    0.540321,  -0.334256,   0.00304874,   0.703496,    0.607529
26,   34.2041,    0.117055,    0.55,    0.493182,  -0.349252,   0.00374744,   0.761524,    0.679983
27,   40.2401,    0.117055,    0.2,    0.559156,  -0.442245,   0.00193842,   0.637956,    0.810324
28,   47.3413,    0.0390184,    0.85,    0.556723,  -0.40536,   0.00403769,   0.695983,    0.804528
29,   55.6956,    0.0780369,    0.35,    0.540723,  -0.422028,   0.00216144,   0.584842,    0.862842
30,   65.5243,    0.0260123,    0.75,    0.574381,  -0.391095,   0.00299422,   0.626507,    0.919554
31,   77.0874,    0.0520246,    0.6,    0.567895,  -0.433995,   0.00179286,   0.587272,    0.825649
32,   90.691,    0.0520246,    0.5,    0.544806,  -0.420809,   0.00204982,   0.569057,    0.832815
33,   106.695,    0.0520246,    0.45,    0.550846,  -0.44276,   0.00162139,   0.624446,    0.779622
34,   125.524,    0.0520246,    0.7,    0.548886,  -0.441601,   0.00186889,   0.610427,    0.825292
35,   147.675,    0.104049,    0.1,    0.548843,  -0.43848,   0.00192139,   0.6215,    0.848764
36,   173.736,    0.0346831,    0.55,    0.552952,  -0.444698,   0.00192689,   0.633198,    0.799257
37,   204.395,    0.0346831,    0.5,    0.553446,  -0.442757,   0.00192463,   0.614198,    0.819087
38,   240.464,    0.0346831,    0.4,    0.551014,  -0.439963,   0.00191286,   0.648927,    0.785596
39,   282.899,    0.0346831,    0.7,    0.560374,  -0.445186,   0.00179282,   0.622617,    0.797023
40,   332.823,    0.0693661,    0.2,    0.542404,  -0.438646,   0.00151967,   0.626859,    0.756685
41,   391.556,    0.023122,    0.75,    0.557809,  -0.442585,   0.00147266,   0.606561,    0.784051
42,   460.654,    0.0462441,    0.45,    0.5532,  -0.442793,   0.00216546,   0.62938,    0.810791
43,   541.946,    0.0462441,    0.2,    0.565533,  -0.439495,   0.00211459,   0.63619,    0.814528
44,   637.584,    0.0154147,    0.65,    0.567626,  -0.440876,   0.00215262,   0.616764,    0.81442
45,   750.099,    0.0308294,    0.2,    0.553637,  -0.441709,   0.00178775,   0.599914,    0.798364
46,   882.469,    0.0102765,    0.4,    0.553338,  -0.447446,   0.00162956,   0.613059,    0.790783
47,   1038.2,    0.0102765,    0.45,    0.552345,  -0.443626,   0.00153324,   0.607725,    0.776293
