Blk     Blk_avg     Cum_avg       Error
0   -0.455086   -0.455086           0
1   -0.429813   -0.442449   0.0126365
2   -0.457017   -0.447305  0.00876386
3   -0.378922   -0.430209   0.0181844
4   -0.438657   -0.431899   0.0141865
5   -0.414187   -0.428947   0.0119535
6   -0.457635   -0.433045   0.0109021
7   -0.450184   -0.435187  0.00968152
8   -0.404487   -0.431776  0.00919449
9   -0.436251   -0.432224  0.00823597
10    -0.46394   -0.435107  0.00798823
11   -0.453589   -0.436647  0.00745309
12   -0.431784   -0.436273  0.00686604
13   -0.422448   -0.435286  0.00643296
14    -0.45601   -0.436667  0.00614607
15   -0.436398   -0.436651  0.00574915
16   -0.450391   -0.437459  0.00546054
17   -0.436017   -0.437379  0.00514887
18    -0.44673   -0.437871  0.00489515
19   -0.443277   -0.438141   0.0046518
20   -0.443913   -0.438416  0.00443328
21   -0.416112   -0.437402  0.00434684
22   -0.434918   -0.437294  0.00415496
23    -0.37616   -0.434747  0.00472373
24   -0.438992   -0.434917  0.00453402
25   -0.414076   -0.434115  0.00442928
26   -0.460726   -0.435101  0.00437455
27   -0.459368   -0.435967  0.00430359
28   -0.465806   -0.436996  0.00427812
29   -0.435061   -0.436932  0.00413356
30   -0.438009   -0.436967  0.00399815
31   -0.440617   -0.437081  0.00387287
32   -0.455298   -0.437633  0.00379405
33    -0.46171   -0.438341  0.00374827
34   -0.437512   -0.438317  0.00363968
35   -0.466372   -0.439097  0.00362196
36   -0.441202   -0.439153  0.00352317
37   -0.451973   -0.439491  0.00344576
38   -0.447858   -0.439705  0.00336309
39   -0.451063   -0.439989  0.00329021
40   -0.447723   -0.440178   0.0032145
41    -0.43955   -0.440163  0.00313706
42    -0.43583   -0.440062   0.0030649
43    -0.44464   -0.440166  0.00299624
44   -0.443151   -0.440233  0.00292965
45   -0.438728     -0.4402  0.00286544
46   -0.430865   -0.440001  0.00281084
47   -0.460116    -0.44042  0.00278338
48     -0.4259   -0.440124  0.00274204
49   -0.457815   -0.440478  0.00270984
50   -0.438306   -0.440435  0.00265652
51   -0.447542   -0.440572  0.00260851
52   -0.444686   -0.440649     0.00256
53   -0.447917   -0.440784  0.00251575
54   -0.441133    -0.44079  0.00246959
55   -0.417978   -0.440383  0.00245906
56   -0.470106   -0.440905  0.00247118
57   -0.445807   -0.440989  0.00242967
58   -0.445264   -0.441061  0.00238924
59   -0.449622   -0.441204  0.00235341
60   -0.463867   -0.441576  0.00234413
61   -0.460225   -0.441876  0.00232555
62   -0.450225   -0.442009  0.00229217
63   -0.458343   -0.442264  0.00227046
64   -0.444282   -0.442295  0.00223547
65   -0.440275   -0.442265  0.00220156
66   -0.429979   -0.442081  0.00217619
67   -0.418977   -0.441742   0.0021707
68   -0.443614   -0.441769  0.00213918
69   -0.474115   -0.442231  0.00215845
70   -0.452991   -0.442382  0.00213322
71   -0.451234   -0.442505  0.00210697
72   -0.470422   -0.442888  0.00211281
73   -0.460423   -0.443125  0.00209749
74    -0.42881   -0.442934  0.00207812
75   -0.435871   -0.442841   0.0020527
76   -0.461565   -0.443084   0.0020404
77   -0.454809   -0.443234  0.00201968
78   -0.456602   -0.443404  0.00200111
79   -0.456794   -0.443571  0.00198302
80   -0.419881   -0.443278   0.0019801
81   -0.416094   -0.442947   0.0019837
82   -0.442092   -0.442937  0.00195968
83   -0.456357   -0.443096   0.0019428
84   -0.409626   -0.442703  0.00195977
85   -0.404301   -0.442256  0.00198765
86   -0.447612   -0.442318  0.00196564
87   -0.430905   -0.442188   0.0019475
88   -0.452916   -0.442309  0.00192926
89   -0.465048   -0.442561  0.00192436
90   -0.440644    -0.44254  0.00190321
91   -0.436538   -0.442475  0.00188354
92   -0.446018   -0.442513  0.00186357
93   -0.415779   -0.442229  0.00186544
94   -0.444441   -0.442252  0.00184585
95   -0.431124   -0.442136   0.0018302
96   -0.453631   -0.442254   0.0018151
97   -0.444278   -0.442275   0.0017966
98   -0.447239   -0.442325  0.00177907
99   -0.461583   -0.442518  0.00177169
