   Gen     Avg_len    Best_len     Best_path
     0      40.309     34.3339     0 16 26 32 12 30 14 27 11 21 6 8 5 9 18 3 4 15 1 13 7 28 24 19 17 22 10 23 20 29 31 33 2 25 0
     1     36.5376     31.3745     0 20 18 7 10 27 33 17 11 13 1 29 9 22 12 24 15 26 4 3 6 25 5 19 31 28 30 23 21 2 8 32 14 16 0
     2     33.1999     28.8306     0 20 18 7 10 27 33 17 11 13 1 29 28 23 30 16 14 3 22 6 32 4 9 15 5 25 12 2 31 21 19 26 24 8 0
     3     29.8027     27.5024     0 20 18 7 10 27 33 17 11 13 1 29 28 23 30 16 14 3 22 6 32 9 12 24 15 26 4 25 5 19 31 21 2 8 0
     4     27.6703     25.3177     0 20 18 7 10 27 33 17 11 13 1 29 28 23 30 16 14 3 22 24 15 26 4 6 32 9 12 25 5 19 31 21 2 8 0
     5     26.0282     23.8539     0 20 18 7 23 28 29 1 13 11 17 33 27 10 30 16 14 3 22 6 32 24 15 26 4 9 12 25 5 19 31 21 2 8 0
     6     24.5751     23.5012     0 20 18 7 23 28 29 1 13 11 17 33 27 10 30 16 14 3 22 24 15 26 4 6 32 9 12 25 5 19 31 21 2 8 0
     7     23.5353      22.813     0 20 18 7 23 28 29 1 13 11 17 33 27 10 30 16 14 3 22 24 15 26 4 6 9 12 25 5 19 31 21 2 8 32 0
     8     23.1226     22.5793     0 20 18 7 23 28 29 1 13 11 17 33 27 10 30 16 14 3 22 24 15 26 4 6 9 12 25 5 19 31 32 21 2 8 0
     9     22.6522     22.2047     0 20 18 8 2 21 32 31 19 5 25 12 9 6 4 26 15 24 22 3 14 16 30 10 27 33 17 11 13 1 29 28 23 7 0
    10     22.4276     21.7964     0 20 18 7 23 28 29 1 13 11 17 33 27 10 30 16 14 3 22 24 15 26 4 6 32 5 19 31 9 12 25 21 2 8 0
    11     21.9856     19.7542     0 20 18 7 23 28 29 1 13 11 17 33 8 2 21 32 31 19 5 25 12 9 6 4 26 15 24 27 10 30 16 14 3 22 0
    12     20.7574     18.9654     0 20 18 7 23 28 29 1 13 11 17 33 8 2 21 32 31 19 5 25 12 9 6 4 26 15 24 27 10 30 16 22 3 14 0
    13     19.4889     18.2036     0 20 18 7 23 28 29 1 13 11 8 2 21 32 31 19 17 33 5 25 12 9 6 4 26 15 24 27 10 30 16 22 3 14 0
    14     18.6955     18.2036     0 20 18 7 23 28 29 1 13 11 8 2 21 32 31 19 17 33 5 25 12 9 6 4 26 15 24 27 10 30 16 22 3 14 0
    15     18.1995     17.7882     0 20 18 7 23 28 29 1 13 11 17 33 8 2 21 32 31 19 5 25 12 9 6 4 26 15 24 27 30 10 16 22 3 14 0
    16      17.895     17.0264     0 20 18 7 23 28 29 1 13 11 8 2 21 32 31 19 17 33 5 25 12 9 6 4 26 15 24 27 30 10 16 22 3 14 0
    17     17.0272     17.0264     0 20 18 7 23 28 29 1 13 11 8 2 21 32 31 19 17 33 5 25 12 9 6 4 26 15 24 27 30 10 16 22 3 14 0
    18     17.0098     16.0347     0 20 18 7 23 28 29 1 13 11 8 2 21 6 9 12 25 5 33 17 19 31 32 4 26 15 24 27 30 10 16 22 3 14 0
    19     16.5464       14.86     0 20 18 7 23 28 29 1 13 11 8 2 21 6 9 12 25 5 33 17 19 31 32 4 26 15 24 27 30 10 3 16 22 14 0
    20     15.3796      14.277     0 20 18 7 23 28 29 1 13 11 8 2 21 25 12 9 6 5 33 17 19 31 32 4 26 15 24 27 30 10 3 16 22 14 0
    21      14.622      14.277     0 20 18 7 23 28 29 1 13 11 8 2 21 25 12 9 6 5 33 17 19 31 32 4 26 15 24 27 30 10 3 16 22 14 0
    22     14.2759     14.1731     0 20 18 7 23 28 29 1 13 11 8 2 21 25 12 9 6 33 17 19 31 32 4 26 5 15 24 27 30 10 3 16 22 14 0
    23     14.2242     14.1731     0 20 18 7 23 28 29 1 13 11 8 2 21 25 12 9 6 33 17 19 31 32 4 26 5 15 24 27 30 10 3 16 22 14 0
    24     14.1695     13.8121     0 20 18 7 23 28 29 1 13 21 25 12 9 11 8 2 6 33 17 19 31 32 4 26 5 15 24 27 30 10 3 16 22 14 0
    25     14.0007     12.8488     0 20 18 7 23 28 29 1 13 21 25 12 9 11 8 2 6 33 17 19 31 32 15 5 26 4 24 27 30 10 3 16 22 14 0
    26     13.2903     12.8087     0 20 13 1 29 28 23 7 18 21 25 12 9 11 8 2 6 33 17 19 31 32 15 5 26 4 24 27 30 10 3 16 22 14 0
    27     12.8295     12.6848     0 20 18 13 1 29 28 23 7 21 25 12 9 11 8 2 6 33 17 19 31 32 15 5 26 4 24 27 30 10 3 16 22 14 0
    28     12.7372     12.3919     0 20 13 18 7 23 28 29 1 21 25 12 9 11 8 2 6 33 17 19 31 32 15 5 26 4 24 27 30 10 3 16 22 14 0
    29      12.515     12.2054     0 20 13 18 7 23 1 29 28 21 25 12 9 11 8 2 6 33 17 19 31 32 15 5 4 26 24 27 30 10 3 16 22 14 0
    30     12.2707     12.2031     0 20 13 18 7 23 1 29 28 21 25 12 9 11 8 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 14 0
    31     12.2044     12.2031     0 20 13 18 7 23 1 29 28 21 25 12 9 11 8 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 14 0
    32     12.2031     12.2031     0 20 13 18 7 23 1 29 28 21 25 12 9 11 8 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 14 0
    33     12.2031     12.2031     0 20 13 18 7 23 1 29 28 21 25 12 9 11 8 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 14 0
    34     12.1989     11.8001     0 20 13 18 7 23 1 29 28 8 11 9 12 25 21 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 14 0
    35     12.0154     11.8001     0 20 13 18 7 23 1 29 28 8 11 9 12 25 21 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 14 0
    36     11.7971     11.5091     0 20 13 18 7 23 29 28 8 11 9 12 25 21 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 1 14 0
    37     11.7064     11.5091     0 20 13 18 7 23 29 28 8 11 9 12 25 21 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 1 14 0
    38     11.5135     11.5091     0 20 13 18 7 23 29 28 8 11 9 12 25 21 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 1 14 0
    39     11.5091     11.5091     0 20 13 18 7 23 29 28 8 11 9 12 25 21 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 1 14 0
    40     11.5084     11.4333     0 20 13 18 7 23 29 28 8 9 11 12 25 21 2 6 33 17 32 31 19 15 5 4 26 24 27 30 10 3 16 22 1 14 0
    41     11.4644     11.0611     0 20 13 18 7 23 29 28 8 11 9 12 25 21 2 6 32 31 19 15 33 17 5 4 26 24 27 30 10 3 16 22 1 14 0
    42     11.2161     10.7405     0 20 13 18 7 23 29 28 8 11 9 12 25 21 2 6 32 31 19 15 33 5 17 4 26 24 27 30 10 3 16 22 1 14 0
    43     10.8589     10.5271     0 20 13 18 7 23 29 28 8 11 9 12 25 21 2 6 32 31 19 15 33 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    44     10.6232     10.4513     0 20 13 18 7 23 29 28 8 9 11 12 25 21 2 6 32 31 19 15 33 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    45     10.4742     10.2996     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 15 33 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    46     10.3829     10.2996     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 15 33 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    47     10.2996     10.2996     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 15 33 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    48     10.2986     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    49     10.2452     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    50     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    51     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
