   Gen     Avg_len    Best_len     Best_path
     0     17.4936     14.4701     0 25 8 15 2 12 20 1 30 33 29 4 32 21 28 23 7 17 3 6 31 16 5 10 13 9 24 18 26 14 19 22 27 11 0
     1     15.4087     12.5099     0 25 8 15 16 13 23 27 12 4 28 26 14 30 19 24 10 9 17 2 33 3 1 6 18 32 29 22 31 21 7 20 5 11 0
     2      13.166     11.1978     0 25 8 15 2 12 20 1 16 13 23 27 4 28 26 14 30 19 24 10 9 17 33 3 6 18 32 29 22 31 21 7 5 11 0
     3     11.5711     10.9202     0 25 8 15 2 12 16 13 23 27 4 28 26 14 30 19 24 10 9 17 33 20 1 3 6 18 32 29 22 31 21 7 5 11 0
     4     11.0517     10.4901     0 25 8 15 2 12 16 13 23 27 4 28 26 14 30 19 24 10 9 17 33 20 1 3 6 29 32 18 5 7 31 22 21 11 0
     5     10.6958     10.2979     0 25 8 23 27 4 28 26 14 30 19 24 10 9 17 33 15 2 12 16 13 20 1 3 6 29 32 18 5 7 31 22 21 11 0
     6     10.4111     10.1992     0 25 8 23 27 4 28 26 14 30 19 15 2 12 16 13 24 10 9 17 33 20 1 3 6 29 32 18 5 7 31 22 21 11 0
     7     10.2235      9.3029     0 25 8 15 2 12 16 13 23 27 4 28 26 24 10 9 17 33 20 1 3 6 29 32 18 5 7 31 22 21 14 30 19 11 0
     8     9.72887     8.99041     0 25 8 15 2 12 16 13 23 27 4 28 26 24 10 9 17 33 14 30 19 20 1 3 6 29 32 18 5 7 31 22 21 11 0
     9     9.10154     8.94829     0 25 8 15 2 12 16 13 23 27 4 28 26 24 10 5 18 32 29 6 3 1 20 19 30 14 33 17 9 7 31 22 21 11 0
    10     8.96671     8.77519     0 25 8 15 2 12 16 13 23 27 4 28 26 24 10 5 18 32 29 6 3 1 20 14 33 17 9 7 31 22 21 19 30 11 0
    11     8.85253     8.57309     0 25 8 15 2 12 16 13 23 27 4 28 26 24 10 5 18 32 29 6 3 1 20 19 21 22 31 7 9 17 33 14 30 11 0
    12      8.6666     8.48982     0 25 8 13 16 15 2 12 23 27 4 28 26 24 10 5 18 32 29 6 3 1 20 19 21 22 31 7 9 17 33 14 30 11 0
    13     8.51734     8.37393     0 25 8 13 16 15 2 12 23 27 4 28 26 24 10 5 18 32 29 6 3 1 20 19 21 22 31 7 9 14 33 17 30 11 0
    14     8.43602     8.32627     0 25 8 15 2 13 16 12 23 27 4 28 26 24 10 5 18 32 29 6 3 1 20 19 21 22 31 7 9 14 33 17 30 11 0
    15     8.34882      8.2226     0 25 8 15 2 13 16 12 23 27 4 28 26 24 10 5 18 32 29 6 3 1 20 19 21 22 31 14 33 7 9 17 30 11 0
    16     8.26913     8.20442     0 25 8 13 16 15 2 12 27 4 28 26 24 10 5 18 32 29 6 3 1 20 19 21 22 31 7 9 23 14 33 17 30 11 0
    17     8.21442     8.07778     0 25 8 13 16 15 2 12 27 4 28 26 24 23 10 5 18 32 29 6 3 1 20 19 21 22 31 7 9 14 33 17 30 11 0
    18     8.12273     7.92645     0 25 8 15 2 13 16 12 27 4 28 26 24 23 10 5 18 32 29 6 3 1 20 19 21 22 31 14 33 7 9 17 30 11 0
    19     7.97057     7.92645     0 25 8 15 2 13 16 12 27 4 28 26 24 23 10 5 18 32 29 6 3 1 20 19 21 22 31 14 33 7 9 17 30 11 0
    20      7.9249     7.77099     0 25 33 14 31 22 21 19 20 1 3 6 29 32 18 5 23 10 24 26 28 4 27 12 16 13 2 15 8 7 9 17 30 11 0
    21     7.88739     7.73802     0 25 33 14 31 22 21 19 20 1 3 6 29 32 18 27 4 28 26 24 10 23 5 12 16 13 2 15 8 7 9 17 30 11 0
    22     7.78574     7.70678     0 25 33 14 31 22 21 19 20 1 3 6 29 32 18 27 4 28 26 24 5 23 10 12 16 13 2 15 8 7 9 17 30 11 0
    23     7.71127     7.30119     0 25 33 14 31 22 21 19 20 1 3 6 29 32 18 5 23 10 27 4 28 26 24 12 16 13 2 15 8 7 9 17 30 11 0
